sentence,Is the sentiment that corresponds to the extracted terms  positive?,term,sentiment_word,"Is the opinion pair relevant (1 = Yes, 0 = No)",cluster,"Is the cluster relevant with the respected term (1 = Yes, No = 0)"
"Walmart has a bad reputation, why I dont know.",0,reputation,bad,1,reputation,1
I have nothing but good experience there.,1,experience,good,1,experience,1
The State and County both pretty much ignored me.,0,state,ignored,1,condition,1
THANK GOD FOR WALMART !,1,walmart,thank,0,unidentified,0
Epik who works at the Garden Center at Walmart at Middletown was very friendly and professional.,1,epik,very friendly,1,unidentified,0
Thanks to him we had a great experience at Walmart!,1,experience,great,1,experience,1
Very easy place to shop at.,1,place,very easy,1,place,1
Had a lot of different things and a bunch of friendly staff.,1,staff,friendly,1,staff,1
Thank you SO MUCH for hiring such a caring and compassionate associate!,1,associate,caring,1,associate,1
"Bill not only assisted us in finding what we needed, but saw Terry was having a very difficult time breathing and standing, so Bill not only took our purchases to the front, he even opened a register when he saw the checkout lines were very long, and cashed us out.",0,time,very difficult,0,time,1
I love Wallmart.,1,wallmart,love,1,unidentified,1
Horrible experience.,0,experience,horrible,1,experience,1
"Costumers service very good , not only words but also deeds.",1,service,very good,1,service,1
I love walmart.,1,walmart,love,1,unidentified,1
And the customer service is pretty good.,1,customer service,pretty good,1,customer service,1
My order was ready within a couple hours.,0,couple hour,ready,1,couple hour,1
Very pleased with this experience.,1,experience,very pleased,1,experience,1
I was so impressed with the service.,1,service,so impressed,1,service,1
Im surprised by all the bad reviews.,0,review,bad,1,rating,1
Ill see if that goes well and all items received in good condition.,1,condition,good,1,condition,1
"If so, I will be a satisfied customer and will continue to use Walmart.",1,customer,satisfied,1,customer service,1
I also am disappointed that you cant order many items online and have to go into the store such as TP and certain food items.,0,food item,not certain,0,food item,1
Doesnt sound like a safe option to me.,0,option,not safe,1,selection,1
"the staff is always polite , helpful , kind , helpful",1,staff,helpful,1,staff,1
"safe and secure, good prices and all in all, nothing to complain about!",1,price,good,1,price,1
Shipping correct prices very reasonable great all around deals,1,deal,great,1,deal,1
I have been pleased with the experience of shopping online with Walmart.,1,experience,pleased,1,experience,1
They have a great selection and prices.,1,selection,great,1,selection,1
The items were ready to be collected within 30 minutes.,1,item,ready,1,item,1
Fantastic experience for me,1,experience,fantastic,1,experience,1
Ordering online can create headaches.,1,headache,create,1,headache,1
"I dont believe they should allow other sellers on their website, I feel it degrades their reputation and service towards us.",0,reputation,degrades,1,reputation,1
"Also, using carriers like Canpar or Purolator for expensive items especially is a drag, because we would have to wait all day long just to make sure they wont leave it by our porch unattended, and not give us notice of their arrival.",0,porch,not leave,0,porch,1
"Too bad we cant select which carrier we would like, would make life easier.",0,carrier,like,0,business,0
Very good customer service in electronics.,1,customer service,very good,1,customer service,1
I like walmart.,1,walmart,like,1,unidentified,0
then pick what brand names u want to shop for.,1,name,want,1,part,0
"The prices are cheap, but I expect better support.",1,support,better,1,support,1
Love this place I come about 4times a week,1,place,love,1,place,1
The associates selecting our purchases and loading the car have been courteous and careful.,1,associate,courteous,1,associate,1
Its a time saver and an easy way to budget food costs.,1,cost,easy,1,cost,1
