company,title,main_comment,invited_or_not,rating
Aldi UK,I visited the Clayton road store…,"I visited the Clayton road store yesterday and had £15, stolen from my purse. I have informed customer services and the police of the incident. I didn’t want to leave a star, but it’s the only way to write a review. I wanted to make people aware of the dangers I’m gutted, I have been stolen from, and urge people to be vigilant when out shopping.",0,1
Aldi UK,Aldi ferrex cordless drill,Don't buy the aldi ferrex cordless drill used once and it has to go back did one light job with it load of rubbish,0,1
Aldi UK,Really poor quality store and very…,Really poor quality store and very unethical,0,1
Aldi UK,visage grooming kit sold by Aldi,"visage grooming kit sold by Aldi, 94971 model three year warranty. item bought in August 2017, fault developed in December 2019-unable to recharge/use; replaced. the replacement unit developed same fault in April 2121(after 16 months use) aldi refused to replace it. SO this particular product/model is NOT VERY GOOD QUALITY product and makes the warranty worthless",0,1
Aldi UK,I wondered why it was so cheep here…,I wondered why it was so cheep here just learned today why. Snuck into the storage and saw around 352 midgets all around 5 years old working in a swet shop. Maybe be more great full next time you shop,0,3
Aldi UK,Tango Training,"The overall experience is excellent. The random Isle is becoming less random which is a shame. I kind of liked going shopping and then as part of the experience trying to come up with reasons why I didn't need a generator or chimnea. I do however think the staff should be trained to reenact the Tango ad from some time ago for customers for whom the idea that you have to pay seems to be a surprise. Quite by coincidence those same customers seem to have handbags big enough to use on a serious weeks hiking, bless them.",0,4
Aldi UK,Aldi UK have been helpful but we…,"Aldi UK have been helpful but we ordered an item for delivery and the delivery service they use is terrible. It has been ""signed for"" by the driver and but returned to depot and for the second time in a row not been delivered. The delivery company is completely uncontactable. The live chat never works and the premium rate phone line is never answered. The only reason for two stars is aldi have chased the delivery company",0,2
Aldi UK,I ordered a 24 hour delivery of wine,I ordered a 24 hour delivery of wine. It took 5 days to arrive.,0,1
Aldi UK,Always friendly and well stocked,Always friendly and well stocked. Is what you pay for. During pandemic very good company with rules and restrictions and key workers. Good work!,0,5
Aldi UK,ALDI  ARE SELLING BABY PRAWNS  AND IN …,ALDI ARE SELLING BABY PRAWNS AND IN THE PACKET AND ON THE PACKET THEY PUT XXXL THE PRAWNS IS NOT LARGE PRAWNS,0,1
Aldi UK,No plasters in first aid boxes.,I was doing my shopping when I cut my hand on a shelf. I asked a member of staff for a plaster she came back with a piece of tissue saying they had no plasters in the first aid boxes. It wasn't a bad cut but it bleed quite a lot. The store was Rhuddlan. The staff are brilliant in the shop.,0,3
Aldi UK,I RARELY LEAVE NEGATIVE REVIEWS HOWEVER…,I RARELY LEAVE NEGATIVE REVIEWS HOWEVER ALDI BRING OUT THE WORST IN ME. I HAVE HAD THE SAME EXPERIENCE OF SHORT AMOUNTS IN CLICK AND COLLECT. INITIAL PHONE CALL GAVE SAME RESPONCE AS OTHERS IE ONLY A VOUCHER AVAILABLE WHICH MUST BE OBTAINED IN STORES AND UTP 28 DAYS TO RECIEVE. OPERATIVE ALSO BORDERED ON BEING RUDE.I THOUGHT I WOULD GIVE IT ANOTHER GO TODAY BUT ON FIRST PHONE CALL WHILST EXPLAINING THE PROBLEM THE LADY (I SAY LADY!) PUT THE PHONE DOWN ON ME. I CALLED BACK AGAIN BUT DECIDED THAT ALDI UK DO NOT KNOW WHAT CUSTOMER SERVICE IS. I WAS NOT ONCE ABUSIVE OR DISRESPECTFULL. BUT I NOW WILL NEVER SHOP AT ALDI AGAIN AND HOPE THAT THE COMPANY SUFFERS FINANCIALLY BY CUSTOMERS EVENTUALLY FINDING OUT HOW BAD THEY AREVIVA SAINSBURYS,0,1
Aldi UK,A catalogue of disasters during and…,"A catalogue of disasters during and online order. Product had to be returned due to quality issues. It took nearly three weeks to contact them to arrange this. Couldn't get through on the phone and no reply to emails. Eventually arranged the return and expected a refund within 15 days. This didn't happen so I contacted them. The refund had been missed on their system and will now take up to another 14 days to process. No effort to speed it up, no explanation why the mistake happened, little effort to apologise. Really poor customer service and unfortunately doesn't seem to be an isolated incident.",0,1
Aldi UK,"Great quality , price and range of products","Quality stores, prices and products",0,5
