company,title,main_comment,invited_or_not,rating
Best Buy,DONT BUY FROM Best Buy,"DONT BUY FROM Best Buy. I bought a 1400 dollar PC in November of 2020. It's a very good PC and broke down in about 4 months. I called the manufacturer and apparently it had a defective mother board from the get go. I figured It would be a no brainer for us to send it back and replace but how wrong I was. I called them various times and was hung up on, put on hold to many times, and was on call for about 2 hours. They refused to give us anything and said that we had to call the manufacturer to get it fixed which would cost about 400 dollars for shipping and would take around 2 months maybe if they actually get it fixed. Basically they don't stand behind the products they sell.",0,1
Best Buy,Beyond bad delivery service,"I have consistently had good service from sales associates and store managers and technicians who have installed appliances. However, I recently ordered eight kitchen and laundry appliances. Six of those were to have been delivered two weeks ago. I received a text message reminding me of my order and it’s pending arrival. On the day of delivery I became suspicious not having received a phone call informing me of my delivery window. I tried to contact the store, but the store was not accepting phone calls. Needing a refrigerator desperately I went on line and made a request for a call back. I received a phone call very quickly and was informed my delivery had been cancelled and would be rescheduled. The operator who contacted me said she could see the store had the refrigerator ready and advised I drive to the store and speak with the store manager. I followed her advice and the store manager arranged for a next day delivery, which took place. Remaining now were the remaining five appliances plus two others that were on a separate order. The two other appliances were scheduled for today, and though late, they did arrive. The remaining appliances were spread across thee dates. One of those was also for today. I had received a phone call the day before reminding me of my scheduled delivery window. Installation, would be a separate appointment date, the following day. It is now 9 pm and the appliances have not arrived nor have I heard from Best Buy. I did received a phone call late this afternoon giving me an installation window of 10 to 1:00 tomorrow for appliances that have not arrived. I have no idea if and when the appliances and installers will arrive tomorrow. I have two other appliances that were rescheduled for one week from now. At no time when my items did not show up was I contacted by Best Buy. Instead I had to call Best Buy - call a store that does not take phone calls which means going on line and hoping for the best. In addition, I have had to go without basic things like a stove/oven and because my old appliances were removed to make room for the new ones scheduled to arrive two weeks ago, the water lines in my kitchen sink were disconnect when the dish washer was removed, so I’ve had no use of my kitchen sink . Three weeks without use of a kitchen sink. Finally, I have lost three days of my time waiting for appliances to be delivered and will lose at least two more days. Five days lost for what was scheduled in two deliveries. This is to say the least, totally unacceptable. NEVER AGAIN!Addendum: May 6, next day. Called Best Buy help line to confirm delivery and installation for later in the morning. Was told both would need to be rescheduled. Note again they did not call me, I called them. I was now given the following week delivery on Monday and installation on Wednesday for these three appliances.Addendum: instead of the installation taking place 5/12 as told on the phone an email just received gives the installation date as 5/26. Another phone call to Best Buy.",0,1
Best Buy,Worst buy,Worst buy. Don't do it. Go to Amazon instead. Same prices. Less bull crap.Their website will send you package to won't addresses. They're service is out sourced to India They don't care. They'll just take your hard earned money.,0,1
Best Buy,I don't even know where to begin at how…,"I don't even know where to begin at how wrong things have gone with my attempt to buy a refrigerator from Best Buy. It has been delayed in delivery for over a week. Every time I call to attempt to find out its status and how to reschedule or cancel, they tell me there is an error and that the warehouse must update the status first, which could take 24 hours, and then changes can be made. So I can't even cancel this refrigerator that I don't have to get a refund until this happens. It's been over 160 hours, and no updates from the warehouse, who miraculously cannot be reached. This is the risk you take purchasing from these big box stores - their supply chains are so massive and strained that their own departments can't even cross-communicate. It's insane. I can't wait to resolve this issue and N E V E R shop at a best buy again.",0,1
Best Buy,Don’t waste your Money and your time at…,Don’t waste your Money and your time at the Best Buy. Two weeks ago but the LG washer and dryer it delivered after 15 days they didn’t even install the dryer Because they didn’t have a right flexible vent pipe. I was trying to use the washer and dryer for the first time the door for the washer won’t close. I called the customer service Add scheduled for another week to replace it. After one week they called me and they said they cannot find the replacement one what a Horrible company and customer service do yourself a favor And do not buy from Best Buy,0,1
Best Buy,Nobody give a damn,"Nobody give a damn, no care for their costumers!!",0,1
Best Buy,I ordered a washer/dryer from them,I ordered a washer/dryer from them. They decided to ship without the pedestals and were doing install. I went to move the date one day to match the date of the full delivery. They moved me out a week on their system. I called 5 minutes later and said my time was gone. I wait a week then the show up. The guy does not tell anyone but cant find the water shut off. I show him where it is but then he and his supervisor said they took to long and have to go to someone else. THIS COMPANY IS GARBAGE and their people do not care for their customers. The supervisors should be picking up garbage on the side of a highway but I fear they could not do that properly. Never again.,0,1
Best Buy,Shady Company,"I went to the Best Buy store in Issaquah, WA today. There were more security checkers than people who actually understand tech and after today I don't think they do anymore! . All I wanted was a battery charger because my charger wasn't working. The guy at the door steered me to where all the new laptops that were being sold. The guy was dealing with another customer. When.he asked me what I was looking for, I told him a new battery because mine wasn't working. He had a customer and they put me on a list to get assistance. Good Luck! What, I found weird was the customer in front of me. She had heard the whole conversation with the tech guy. All of a sudden she said she had the same thing happen to her laptop. And then told me it was a hard drive problem and I should go to the ""geek squad"". Or, get a new laptop. I literally RAN out of the store as I felt I was getting set up. I went next door to Fred Meyer and was able to buy what I needed. And, it worked. I will never go back again,",0,1
Best Buy,Don't take your Apple care repairs to best buy,Don't take your repairs to best buy! You can't call the store to get updates! I've been told twice already a time when my phone would be ready for pickup by an employee at the store and it wasn't ready! All you can call is corporate and they just show the status employees have marked which is that it wasn't ready... The phone is my business phone... so if your lively hood depends on it then plan to lose all your business for about a week while they drag out the service in hopes you'll just buy another phone. Oh and a tech won't even see you unless you have an appointment which you have to make in person and can't do over the phone!,0,1
Best Buy,Terrible treatment of Customers,"No interest in customer Service. Shop elsewhere. Search out the ""mom & pop"" stores where the owner is local. You pay a little more but they want your business. I needed a fan for my computer. I called the local Best Buy. Recording said that they are not answering the phones and you must call their corp 800#. I tried that. Well, long wait times and the usual ""press this for that..."". Finally a person answered but said her department could not help and I must call the ""Geek Squad"". After two wrong transfers on their part, I got a ""Geek"" woman who could not answer my question about a simple computer cooling fan and whether they stocked them. I tried to explain good customer service and how difficult it is to deal with them. All she could say was the corporate line, ""I understand your frustration"". Finally she said that I must order it. I asked if they had what I need. She said that I must talk to the sales department. Two more wrong transfers. Finally, after another long wait time, a sales guy answered. I tried to tell him how hard it is to deal with his company. He just hung up on me in mid sentence. We have some big ticket items to buy this summer. I'll tell you where we will not be shopping.....BEST BUY! I'd rather pay a little more and support the smaller local shops. Buy Buy Best Buy!!!",0,1
