company,title,main_comment,invited_or_not,rating
Costco Wholesale,By far the absolute worst customer…,"By far the absolute worst customer service and experience. Ordered several appliance items and they messed up every one. After over 20 calls with customer service and escalating it to a manager, the still cant figure it out. Complete joke.",0,1
Costco Wholesale,NEVER order online,"I ordered a refrigerator online. Costco Logistic called and sent an email confirming the time and day of delivery. I have been waiting but nothing came on that day. I check my order status, and it states that my order was ""PULLBACK"". Why? Costco Logistic did not call or do something to let me know why they ""PULLBACK"". I call Costco Logistic but nobody answers. It is too sad that Costco Logistic has too bad customer service.",0,1
Costco Wholesale,I ordered Mother's Day flowers from Costco -- they arrived ruined,"I ordered Mother's Day flowers from Costco (to be delivered to my house, so I could check their quality before taking them to mom). Costco sub-contracts delivery to UPS, whose driver, being an idiot (and I watched him pull the box out of the truck), didn't bother to read the box (with ""This Side Up"" stamped prominently all over it), and instead, delivered them upside down -- the way he'd stored them in the truck. Since they were in flower oasis (that green styrofoam stuff) in a heavy bowl, inside of a basket, the combined weight crushed the flowers and ruined the entire arrangement - flowers, soaked and falling-apart basket and all. Okay, only partially Costco's fault, at this point, for subcontracting with the UPS morons, but then I went online to file for a refund. I filed and got an email saying that I needed to box up the ""item"" and ship it back the way it had come. Seriously? For something as perishable as FLOWERS? So I called Customer Service; on hold 3 times (twice dropped on the call), and they said I should have called Customer Service BEFORE I went online and processed the item for a return, because Customer Service can put in a work-around that avoids the need for the customer to rebox and send back. And this is WHERE on their website -- anyone? Anywhere? Exactly -- NOWHERE. Way to go. Fix the darned website, at the least, and don't deliver flowers via a careless, unreliable deliverer like UPS, ferchrissake!",0,2
Costco Wholesale,I purchased toilet paper from costco in…,I purchased kirkland brand toilet paper from costco in Hamilton Ontario. I purchased pre covid wasn't too bad but month ago I purchased but had tons charmin(awsome brand( to go through first. So just opened to try. This is almost the worst toilet paper I have ever used not even a step above from worst public restroom paper . Thin only quarter soft on one side just all around crap and want to return not for money but for better product. Apparently costco doesnt take returns on toilet paper. Prob because changes recipe and know all people who care about wiping would not tolerate this new crap stuff,0,1
Costco Wholesale,Costco ruined my Mother's Day,"I have had the worse experience with Costco.com this week.I ordered flowers this week from Costco.com for Mothers day starting May 4. They cancelled my order 24 hrs later, then I reordered thinking I did something wrong on my order. 10 hours later they cancelled it again.Then I called and they said I had to take my member number out and re order. Because my card was expired and needed to order non member and pay 5% more. But I told them when I ordered to begin with my membership had expired and I would pay non member price. I did and they charged me in each order that price. Which was fine with me. I havent been shopping at Costco since covid. So I did what she told me and ordered again. I got back cancelled again. So I decided I will just try a different card. The main reason I tried a fourth time is now I am in a position that all the flowers are high priced and picked over for Mothers Day. So I try again.In the mean time, I call my other card to check my balance it is -$150.00..I speak to my card and Costco is holding my money for preauthorizations of all the orders. And I ask how long will this money be held 7 days or more. I am floored, they cancel and they're still holding my money and this long. I try to call to Costco, they hang up on me or just let it ring. I spent 2 hours trying to get through. I call a store and they give me the corporate number. I call and speak to member services, she sends me to commerce. I speak to commerce they say well, you needed to make a new membership account because your not a member anymore. I told them, so why does it say non member 5% cost on my account if I can't order with my regular log in? I know, she says I'm sorry. And then I ask them to return my money, we'll try but really can't guarantee it can happen quicker. So I said, now you've ruined the flower delivery to the Mother of my adopted twin grandchildren. Then you've tied up my money so I can't have a Mothers day weekend. She says sorry. Offers nothing. I will never give one dime to Costco again. I am remodeling my home was looking to buy an outside kitchen. They just lost another $5000 plus from me. I have been a member of their's for decades. Since their original Kirkland store opened. I am very disappointed and upset.",0,1
Costco Wholesale,Costco 8000 Parramore Dr. Jacksonville FL,"Prior to all this Mask-a-tard idiocy, I had cancelled my membership at Costco 8000 Parramore Dr. because of the eat $h1+ attitude of the staff and incompetence they demonstrated, I mean really, who puts a chick with mustache on the ""customer service"" desk?! While I will never shop at any Costco again, this particular location seems to have a special case of The Stupid (thank you my Spanish speaking friends on the concept of Stupid and how culturally speaking, it is a malicious malady.. waiting to strike!!.. well folks.. look around!) ... even after multiple attempts for suggestions as to basic items they don't carry, how to stock them in less than a whole frakin pallet size space ... can you carry something besides ONE flavor of coffee creamer and no fresh chocolate milk ?? Do you need help with your Plan-o-Gram and store layout? You can hire me at a consultancy fee.. however you seem to believe you have all the ""help"" you need ... Costco as a company is ""all in"" with all the wrong things and this location is coasting on the brand name clout and I'm sure in no danger of closing 'cause Sheeple gonna sheep ....",0,1
Costco Wholesale,Horrible service,"Horrible service, Rude Staff, High Prices and they discriminate. Avoid Costco and spend your money somewhere else.",0,1
Costco Wholesale,There customer service is horrible,There customer service is horrible. If you try to do return through Costco.com it’s like dealing with something worse than a bureaucracy. 5 different answers from 5 different departments.,0,1
Costco Wholesale,The only store where the employees know…,The only store where the employees know every inch of their store and the prices are really good.,0,5
Costco Wholesale,Mask Nazis at Costco,"I was wearing my plastic mask when I entered the store and this mask security guard handed me a paper mask and wanted me to change my plastic mask. I cannot breath on those regular masks, and the plastic mask I was wearing is totally fine for me (covers my mouth and nose). He decided to follow me and tried to harass me into wearing the mask he provided, I mean really? These people feels like they have so much power over your well being now, to the point that they're harassing you just to wear those awful masks. Costco's employees are playing mask natzis! Contemplating on cancelling my membership over this horrible treatment towards customers.",0,1
Costco Wholesale,"costco, police thyself","It's interesting that there are so many complaints here about costco and masks and yet where I live, I don't see any sign that their membership is off. However, they should police themselves because I've seen many of their employees and instacart shoppers not wearing masks properly and I even had one come up to me, take mask down and then give me instructions on how to stand in line and I was more than 10 ft from anyone when she did that. Still the mask issue doesn't bother me as much as the overcrowding and way we get treated like cattle whenever I go there. And, the constant hawking to sell me stuff as I walk in is also pretty annoying. I pay for a membership so someone can pester me while I'm in the store but they can't be bothered to help get a mattress out of the store, or explain why they don't bother to restock those 'bait' items that dragged you there in the first place. Customer service as sams club is just as bad but they have scan and go, and grocery pickup, and they'll tell you before you go what they have in stock online.",0,1
Costco Wholesale,Not quite Kosher,"As other have stated Costco is being exposed as too are Trustpilot who have hounded me and Costco have have hounded them, so they bowed to the demigods Costco but persecuted the like of me. A law unto themselves. I went today with someonas I lost my job recently and no longer qualified for membership even though I have served my country but became disabled so cannot work. I saw Asylum seekers, several people form one household in these Covid times. These are the people who will by the nappies, the milk, bottled water and ask the bakery are all your products Halal! I am agast. No rice no prawns many items missing and then they blamed in an Ramadan and those buying all the items.",0,1
Costco Wholesale,How the mighty have fallen!,"I used to love Costco! Unfortunately, they discriminate against people with medical disabilities and violate federal law. Other companies are doing the same, but Costco is one of the worst. Any employee can hound you, follow you and badger you, even if your mask is a bit below the nose. Seriously, the employees are on serious power trips! Bottom line, federal law trumps any mandate or ordinance. Costco doesn't obey the law.",0,1
Costco Wholesale,Costco is the worst....,,0,1
Costco Wholesale,Do not shop through Costco Next,"I have been a member of Costco for over twenty years. I have never had a bad experience with this company until this past December. Before the holidays I bought three sets of Dearfoam slippers through Costco Next. Unfortunately, two of the three slippers I purchased as gifts did not fit. I have been trying to return the two sets of slippers, but have been getting the run around. Costco promotes shopping through Costco Next, but their employees cannot provide any helpful information regarding the return process. I would not recommend shopping through Costco Next. I am stuck with two sets of slippers I have no use for.",0,1
Costco Wholesale,Make your Yes Mean Yes Costco...,"Good day, we made a purchase of a MacBook Pro on Costco.com and the promotion at the time stated that we would get a $250 shop card from the store and also a $250 discount if we applied for their Citi Visa card and completed the purchased. The advertizement was very dicieving and did not state that you would not get the card instantly as you do at other retailers in order to make the purchase within the required time. We visited the store to expedite the process and we were told that they could not assist. Once we received the card, we made the order and called to request the $250 shop card and also the $250 Citi Visa discount. The representative from Costco.com stated that he was unable to place an adjustment on an item that had not posted yet and to call back and that they will issue the credit adjustment. Upon doing so we are now told that even with their 30 price adjustment policy, they cannot issued the shop card or provide us with the Citi Visa discount.This is very sad as we have purchased many high value items over the years and were told by their staff on a recorded line that they would. Please be careful of the false advertisement and don't be tricked into getting a credit card...",0,1
Costco Wholesale,We had a horrible experience at…,"We had a horrible experience at Sarasota, FL Costco twice. Really rude employees about mask mandate. in one instance my husband was eating some food from their side restaurant. As he was eating he had his mask down when an employee was super nasty about him not having his mask on. The employee without saying a word made a notion of ""pull your mask up"" with his hands. After my husband showed him he was eating food the employee proceeded to tell my husband after each bite my husband should pull his mask up. The employee did it with a really ugly attitude, his action was super nasty and uncalled for and ridiculous. This kind of treatment of customers will result with lost business. And perhaps that's what has to happen for this behavior to be stopped. There should be respect for customers who spend their $$ at the store. Customers that come and shop at the store should not be treated like criminals.",0,1
Costco Wholesale,Horrible Service With Product Installation,I bought a cooktop with installation included and the delivery people said they don't install so they'd get someone who would. Promised an installation date and then call and that date cancelled as they wouldn't install. They contacted Costco as to the problem and said they'd transfer me to someone who'd help and when I got that someone on the phone they knew nothing about what I was talking about.... Half hour on the phone and hung up and will pay to have it installed with this horrible service. Mind you this took a week to get to this point of me having to hire someone myself.,0,1
Costco Wholesale,Mask police need manners....,"As a Seattle based company, I always knew where they're coming from, aside from sub standard products and espicially the surly mask police at the door that was the last straw...Cancelling all business with them... When they follow you around the store like a detective, I draw the line..... This store in the Brockton, Mass. area is just a extention of demonrats command and control gestapo tactics that destroy whatever they touch.... Because Costco is a huge proponent of the cancel culture and the SCAM BLM race baiters only fitting unaware customer base need to know who they are forking over their money to... I support none of their pet projects and will not support them....",0,1
Costco Wholesale,I ordered baby formula and received Netgear modem,"I ordered baby formula and recipes Netgear modem. Not just that, I was charged for return shipping. Absolutely ridiculous. Baby is too small to digest metal and plastic.",0,1
Costco Wholesale,Costco Cash Out System,"Just visited Costco and once again my experience with the cash out system was very annoying. Anyone notice that Unlike other large retailers, Costco's cash out register does not tell you your total until the end or you have to stop the cashier midway to ask what is your total. Secondly I was wondering why the cashier was racing to scan the items not allowing the customer to ensure that the price is the same as the one on the shelf. Well a few minutes later I got my answer as I was waiting on the line to check my receipt. Right there on the wall were names of cashiers and the amount of items they cashed every minute. It looks like the company promotes some sort of competition among them to see who could cash in a less amount of time. Not everyone is rich and has lots of money some of us have to carefully manage our finances so I would like the opportunity to view my total after every product is scan and not have the cashier rush through my groceries as if she was working on commission. Thank You.. THIS IS RIDICULOUS.....",0,2
Costco Wholesale,Very poor service,Very poor service. Discriminatory action against people with disabilities. I'm a veteran and this business is Discriminatory. I'm shopping at Sams@,0,1
Costco Wholesale,Major delivery and installation issues and concerns.,"- Delivery no showed.- Long hold times. - Service Rep on the phone confirmed they have a known, ongoing issue with delivery logistics.- Delivery rescheduled and they actually showed up this time.- Installation contact had a bad attitude because Costco didn't unbox this dishwasher, so he had to.- They both tried to put me in the middle of who should be doing what job as it relates to delivery and preparing the items for installation. Very unprofessional and poor representation of Costco.- I wish I could leave less than one star!!",0,1
Costco Wholesale,So disappointed in Costco.com,"So disappointed in Costco.com. I will never use this site again.. After seeing a pressure washer in the store, we googled it, decided we wanted it and decided to order it on-line to take advantage of delivery. We got a confirmation that order was placed, our VISA was charged and UPS label was created. Imagine how disappointed we were today, after being on hold for 45+mins to find out, item is out of stock, and now we're stuck. None anywhere and no recourse for us. Oh, we'll get a refund, but no power washer and no satisfaction.",0,1
