company,title,main_comment,invited_or_not,rating
Decathlon DE,"Wrong product, no help, no solution.","My cousin bought for me a bike from decathlon de. After the bike arrived his home, he sent this bike to me to Poland from Germany via post and I paid for post 65euro. We bought this product from decathlon de because this product is not available in decathlon pl. After my cousin sent my bike to me, I’ve opened the box and seen that decathlon de send to my cousin completely different bike than we ordered. This wrong product came to Poland and I realised it’s completely wrong bike, we had contact with customer support decathlon de via e-mail. Of course they they are sorry, they just asked if we can send them picture and barcode of product. We send them everything! 1 week past, there is no answer, there is no solution. There is no call, There is no Contact.We kindly waited that someone will solve this problem. I can understand someone can make mistake, or maybe someone having training that’s why thy sen’t wrong bike. That’s normal. But why don’t you try to solve problem ? Now I’m asking you decathlon de ? What’s next ? Here the Order Number DE2034447244Thank you for understanding!!!!!!!!",0,1
Decathlon DE,Tolle Organisation!,Hat super geklappt mit Click and drive Through!!!,1,5
Decathlon DE,Easy and convenient but..,"The website is good (not the best) and you can easily search and order. For my order that I paid for, one item got cancelled and I was not informed me. I found out only when I went to the store for pick-up.",1,4
Decathlon DE,Excellent delivery,"Excellent delivery, incl. great packaging. Sometimes a little bit slow, but in COVID times this is totally fine and also expected. I have ordered several times and never had a problem. Returns work perfectly fine, too.",0,5
Decathlon DE,Super Shop,Super Shop. Tolle Ware.Super Service,1,5
Decathlon DE,All fine,"Could be faster delivery, but all OK and as described",1,4
Decathlon DE,Shopping as usual,Shopping as usual! 👍🏽,1,5
Decathlon DE,Very nice Service and quick Collection in the pick up Drive in,,1,4
Decathlon DE,Click & collect = perfekt!!!,,1,5
Decathlon DE,Best shop ever,,1,5
Decathlon DE,The package arrived 2 business days…,The package arrived 2 business days later than announced at completion of purchase. Other than that everything was fine.,1,4
Decathlon DE,Great experience,"Great experience, delivery faster than expected",1,5
Decathlon DE,Everything as expected,,1,5
Decathlon DE,"All good, thanks!",Professional and trustworthy,1,5
Decathlon DE,No problems,"No problems, perfect",1,5
Decathlon DE,Great gym gear,Good quality gym gear. Great to work out with.,1,5
Decathlon DE,Always OK.,Always OK.Fine goods and price are ok,1,5
Decathlon DE,Package delivered on time and the…,Package delivered on time and the delivery staff were pleasant.,1,5
Decathlon DE,Fast delivery,Fast delivery. Everything went well.,1,5
Decathlon DE,Decathlon order: 5 stars!,My Decathlon order arrived in time; all items were as shown on the website; I'm very pleased and would definitely order again!,1,5
Decathlon DE,good value,"Friendly service, helpful personnel, good value products",1,5
Decathlon DE,As always,As always! Good quality and fast delivery!,1,5
Decathlon DE,Fast and accurate,"Fast and accurate, as always.",1,5
Decathlon DE,Quick and good service! Top!,Quick and good Service,1,5
Decathlon DE,Fast deliver,"Fast deliver, good quality 👍",1,5
Decathlon DE,Very late delivery and no customer service phone,"The bike I bought was supposed to be delivered within one week. After 7 days and one reminder, they haven't yet contacted me to make an appointment for the delivery. No telephone number for customer service was given; only one email address from which I got no reply yet. This is very disappointing!",1,1
Decathlon DE,Delivery information,Have been informed about postponed delivery. Nevertheless delivery was in time.,1,5
Decathlon DE,Delivered and in good quality as…,Delivered and in good quality as expected. A little too much packaging around: less is more !,1,4
Decathlon DE,Very nice running shoes that came very…,"Very nice running shoes that came very quickly in hour house, with pleasure again!",1,5
