company,title,main_comment,invited_or_not,rating
Euronics,Shrewsbury Capital Appliances,"Shrewsbury - Capital Appliances- rude, not listening and unhelpfulPurchased and collected required item from Currys instead",0,1
Euronics,I am complaining about MA Vac in…,"I am complaining about MA Vac in Edgeware Middlesex I bought a Bosch washing machine four months ago and the door just fell off and broke, I told the company it was faulty and they would not Do anything about it and accused me of breaking it off which I didn’t.The manager was so rude I’ve actually put this on Facebook how I was treated and I’m on the phone now waiting for my credit card company lots of people have recommended me to review on trust pilot of which I’m doing now. It really is best as I’ve learnt from this lesson to buy from a big company whoKnow how to treat their customers. I only bought from them as their was a lockdown!",0,1
Euronics,They simply DO NOT CARE A HOOT!,"Never deal directly with them in ordering over the internet .... if you have issues with your purchase then they will not deal with the problems in a professional manner! ..... and I would advise against buying an LG washing machine as well ... it has simply not worked from the 3rd week and, despite numerous callouts and “repairs”, we are now in a slow process queue to get a replacementEuronics keeps you holding on the phone line and requests to speak to a manager are fobbed off with “not available just now” standard responses ..... dealing with an internet purchase just means that you do not have a local agent who cares .... because the head office certainly does not!! Order # 0020643087 if you are bothered to follow up Euronics",0,2
Euronics,Hoover Dishwasher from the Blackburn Store,I ordered a Hoover Dishwasher from the Blackburn store which came within the timescale quoted. All this was arranged over the phone with no issues what so ever. We opted for the extras to remove the old dishwasher and fit the new dishwasher as the prices to do this were very competitive ( Much cheaper than some of the other larger electrical stores ) There were a few complications arising from the previous kitchen fitters leaving a much larger gap than was necessary. However the chaps from Euronics persevered and we now have a beautifully fitted and fully working dishwasher. The whole experience has been an excellent one and we will be using their services in the future.,0,5
Euronics,Good service easy order lec product 3…,Good service easy order lec product 3 year warranty delivery good,0,4
Euronics,purchased a dryer in July 2018 the…,We purchased a dryer in July 2018 the dryer work fine for the first year we got extended warranty for three years for the past 18 months the dryer has not been working more than it’s worked again the same fault has come up And now we have to wait until the 1st August for someone to come round and take a look at it this is absolutely ridiculous is there anything else I can do in regards to getting it fixed or replaced,0,1
Euronics,Specifically about Faulkners in Louth…,Specifically about Faulkners in Louth Lincs. I have bought a couple of things from them and the service is quite old fashioned in as much as they care about the customer right from the initial phone call through to me making a mistake fitting the new dishwasher and they still sent out someone to sort this with no charge. I will certainly be using them for whatever next needs replacing.,0,5
Euronics,I ordered a gaming controller 2 months…,I ordered a gaming controller 2 months ago..still don't have it,0,1
Euronics,All round service!,ordered Blomberg condenser dryer on Tuesday 19 January and advised delivery would be Saturday 23 January. Michael Freeman Panasonic Inverness phoned Thursday to arrange delivery on Friday 22 January. Great service!,0,5
Euronics,Ordered a cooker to be delivered…,"Ordered a cooker to be delivered Thursday 28th January, didn't arriveNo communication. Tried to ring Friday no one answeringFinally got through Friday afternoon. They knew nothing about my order! Cooker now being delivered Tuesday. No compensation after waiting in all day. Disgraceful.",0,1
