company,title,main_comment,invited_or_not,rating
Gap,Failing on so many levels....,"Dear Gap, when you send a customer the wrong item then YOU should correct it, not leave it to the paying customer to go and do your bidding while standing in line at the post office or store to return your mistake before you will even send the correct item. Send a return label with the correct item and make it easy on the customer. The shipping label doesn’t even have the correct item on it. I’m too exhausted to call your customer service back and explain to them how your trading has failed them that I will simply be disputing the charges. If people are ordering online it is because they don’t have time to stand in line for you, or shop at the store. This is not genius but you do need some genius because from reading the other reviews it is obvious that whom ever is in charge of your customer service practices should be fired. A long going issue at this point.... while others are catering to online services during COVID Gap remains stagnant and ignorant of good service and reputation.",0,1
Gap,I have had it with Gap,"I have had it with Gap. As a single mother of 4, I shop a lot at The Gap. With my last purchase 3 tops that I purchased for $19.99 each, before using my rewards, arrived with sale prices, two for $14.99 and one for $5.99, a difference of $24.00. I called them and a supervisor said there was nothing they could due because I used my rewards...really, they just stole $24.00 of my rewards!",0,1
Gap,Bad customer service,"I purchased an item from GAP that had an additional 10% off promotion. I clicked the 'Tap to apply' and after the purchase was completed, I realized the extra 10% didn't come off the purchase price. I called customer service and the woman adjusted the purchase price. The item has since gone on sale, so I called to get price adjustment and told I couldn't because one was already applied. I explained it wasn't a fault of mine, but the systems and really wasn't a price adjustment at all. Still, customer service refused and said she would have the manager look it over. I haven't heard anything back. Being penalized because the companies system was working properly is just ridiculous.",0,1
Gap,No progress of PAYMENT,"I cannot understand why the type of online payment method is so low. If I have no credit card, it is super difficult to buy things online from GAP. What is the generation now?",0,1
Gap,Miserable experience!,"I ordered 5 pairs of underwear at the store, and a week later I get a notice that the pack of three are on back order? Then I received 1pair and the last pair have been stuck somewhere for weeks? I out of 5 ..... what a joke!Miserable experience.",0,1
Gap,"Fraudulent Advertising, Unprofessional Supervisor","First of all, RAY, a supposed supervisor, definitely needs training in how to deflate an upset customer. I buy a lot of merchandise from GAP, and every order, there's an issue! I only continue to shop there because my grandchildren love the clothes, however, their customer service doesn't exist. They advertise promotions you cannot use, they don't ship all your items, and you have to research what happened to them, they don't notify you. They offer absolutely no resolution to help. Shop at GAP at your own risk!",0,1
Gap,Amazon > Gap,"Why display something that supposed to be in stock, but really isn’t? I placed an order, only to be emailed a WEEK later that one of the items was cancelled because they were out of stock??? What the actual f***, Gap? I’ve never had this kind of problem with Amazon! Also what’s with shipping items separately? Why not ship everything altogether? I knew I should’ve shopped for baby clothes in person. Gap is overrated and they don’t even have that great selection of clothes. I have got to stop trying to impress mommy, eh?Amazon has way better baby clothes than Gap. They also have way better customer service (that isn’t saying much though) and they give people their refunds on time (usually). Despite the issues I have with Amazon, they’re a hell of a lot better than Gap. I better get my f****** money back you stupid motherf***ers.I should’ve ran straight to TrustPilot before trusting what my mother suggested. I should’ve read these reviews. Lesson learned - NEVER AGAIN.I wish they would go bankrupt, but the mentally ill Kanye West is collaborating with Gap. They’ll never get their comeuppance.",0,1
Gap,In the sales season,"In the sales season, very good prices. Quickly process orders.",0,5
Gap,DO NOT order from GAP until LASER SHIP is OUT…,"this is the first time i have ever written a review. The shipping service used by Gap- LaserShip is so horrendous i feel i should warn everyone. DO NOT PLACE AN ORDER WITH GAP UNTIL LASER SHIP IS FIRED. All UPS shipments over the past several years have arrived with no issues and on time. GAP is using a new shipping company called LASER SHIP- i am now on my third day on the phone, and 5 hours into holding for GAP customer service and Laser ship has a 30 minute hold time then the agents have no ability to help--",0,1
Gap,Horrible service when it comes to…,"Horrible service when it comes to delivery. I’d placed an online order and it was returned due to insufficient address. They forgot to enter my apt # and this is the second time it has happened. Now I have to call shipping to track down the order and update my address? I don’t think so! I’ll be calling customer service to vent tomorrow! How do they expect to stay in business and compete with companies like Amazon is beyond me! I’d love to support small businesses and other businesses that serve middle class customers, but they need to fix their internal issues or they’ll go extinct!",0,1
Gap,UNPROFESSIONAL CUSTOMER SERVICE AGENTS…,UNPROFESSIONAL CUSTOMER SERVICE AGENTS LIE AND MAKE UP THINGS TO GET CLIENTS OFF THE PHONE,0,1
Gap,Unprofessional Customer Service,"First of all, I have difficulty logging in even with the new password I just made. So, I had to call the customer service. The customer service was so unprofessional that it is beyond one could imagine! First of all, the first customer service representative just transferred me to another without forwarding any information so I had to explain one more time what happened. Then the second representative sounded so impatient as if he was doing me a big favor by repeating the website one more time! The conclusion is if you want to make a timely payment online, guess what, that purchase you made hasn't even been posted online! Okay, it's your fault by being ahead of them!",0,2
Gap,Hopping on the 'poor quality' band…,"Hopping on the 'poor quality' band wagon. I've been buying my jeans exclusively from GAP since high school. They fit the way I liked, consistent, and held up well for how frequently I wore them. NOW: All jeans are the lame stretch denim, color fades fast and the two of the three pairs that I've owned just barely over a year have random holes popping up all over. Down by the leg, under the knee??!!, by the belt line. Pitiful. Sad, but I have no choice but to find another place to shop. By GAP RIP.",0,1
Gap,My online shopping experience was…,My online shopping experience was excellent. My order came within a week and was complete. As always gap has come through for me when shopping for my granddaughter’s birthday.,0,5
Gap,disappointing long delivery time,Extremely disappointing. It’s been over 6 weeks and still didn’t receive delivery of cloths I bough on Gap.eu. In the future I will consider other options on the market for my e-shoppping . I do not recommend Gap.Update: Received refund as delivery never arrived.,0,1
Gap,The poor quality of GAP’s jeans,The quality of GAP’s jeans has plummeted. It’s falling victim to the age of abundance low quality disposable clothes that only for a few months. In the last 12 months I have bought 3 jeans all of which ended up with material giving way in the crotch and bump area. Ironically I have GAP jeans bought 5 years ago that I still use frequently. Age of fast fashion and wastefulness.,0,1
