company,title,main_comment,invited_or_not,rating
H&M,Never received my order …,Never received my order and my delivery email stating it has been delivered days ago... I contacted customer service and they claim I have to wait 2 weeks to BEGIN an investigation to get my money back. I should have checked the reviews on this place before ordering. But I assumed with them being a well known store they would know how to ship online purchases. It’s too bad they run a business like this just to run it to trash. Never never never will I order from here or shop in this store again. Don’t waste your time buying from here... just look at the reviews. H&M you should be ashamed of yourself!!!,0,1
H&M,Amazing online customer service,Customer service live chat is very helpful it has solved my problems for refund 👍,0,5
H&M,SCAMMERS,"I only gave one star as i had to. Terrible customer service, sent me wrong items, very low value wrong items, baby clothes in fact in replacement for my teenage sized sports clothes that equalled nearly 40 quid. And THEN they say i cannot have my money back UNTIL they receive the wrong stuff they sent. Yes, i've sent the parcel back TWO WEEKS AGO and still haven't got my money back. I can see how this is going to go, i'm not stupid. I am reporting to Trading Standards and WILL NEVER SHOP AGAIN WITH H&M. I suggest everyone else does the same. Terrible company with even worse customer service.",0,1
H&M,The worst delivery service ever!I order…,The worst delivery service ever!I order one week ago and I still haven’t got the order even though it’s said that it is on the way.I returned an item 2 weeks ago and I still haven’t received any email of confirmation.Bad Bad H&M because of this I prefer ordering on Zara which deliver next day as well free of charge .,0,1
H&M,My daughter often shops at H&M,"My daughter often shops at H&M, fair to them they have a huge variety of fashion clothes to choose from at reasonable prices. My issue is the incorrect and misleading sizing especially on their dresses and women’s jeans. My daughter is a UK 10, she came home with a pair of jeans that were sized 14 (her receipt said size 16). For the last week I noticed she was eating very little food. When I asked her why she replied that she had put on weight as her jean size was now 14 and that she had to lose it. I have always taught her that all women are beautiful whatever size they are, it really shouldn’t matter. But due to bullying at school my child has had issues with body dysmorphia. She struggles every day to like herself. As I myself had put the jeans in her wardrobe I know for a fact they were not size 14 (31 inches) so I measured them. They came up at 28 inches (womens jean size 8). I have noticed this with a lot of H&M Oxford Street clothing. Their buying, production and import departments need to address this issue immediately, as they are causing untold damage to young women who are already having to struggle and fight with mental issues concerning low body image, self esteem and eating disorders! As a fashion house specifically catering to young people H&M should seriously check themselves and stop skimping on size just so they can get a few more pairs of jeans out of a couple of yards of material. Profit should not come before mental well-being!",0,1
H&M,Worst shipping ever!,Worst shipping ever!! Ordered on 3/31 said order was shipped 4/4 but it never left the warehouse! Then got an email that it would be delayed. Finally after still not recieving it on 5/5 i got my refund. I wont be buying there ever again! I get my items faster elsewhere.,0,1
H&M,H&M Hounslow is the most understaffed…,H&M Hounslow is the most understaffed store everSort it out I don’t want to be waiting in a que for hours during corona,0,2
H&M,Absolute waste of time ordering from…,Absolute waste of time ordering from this company. One nightmare after another. Do yourself a favour and order from somewhere else…. Hell I’d rather pay more for less hassle. Never again,0,1
H&M,Customer service is a nightmare,"I don't know why I continue to order from here. Their clothes are decent but not worth the hassle of dealing with their customer service team. DO NOT - I repeat - do not attempt to use Klarna for installments. They do not communicate what happens with the order after you receive it so if you make returns or anything, you have to call each customer service team and sit on the phone for hours piecing together a solution for the clothes you ordered.",0,1
H&M,Great online customer service!,I think it's amazing online customer service. The chat works really well and I had my problems solved a few times within 5-10 minutes. Everyone should take a page from their book!,0,5
