company,title,main_comment,invited_or_not,rating
The Home Depot,I purchased a washer and dryer from…,"I purchased a washer and dryer from Home Depot and waited more than a week for delivery. On day of delivery (5/8/21), the installer (a non-English speaker) just said, ""We'll be around in one half hour."" That's it. The caller ID just gave a telephone number not the Home Depot. The same thing when when he arrived at my house. No ID, no instructions, no introductions. When he came to the house, he just examined the route with a tape measure and pointed out the spots where it was too narrow and where we had to widen it. He said that he couldn't do it and that I should call back when it's fixed. He left without installing the washer or dryer.",0,1
The Home Depot,I wish I could give a zero,"I wish I could give a zero. I ordered a stove over the phone from a person and used the 10% off coupon they sent me. Even had her repeat the new balance. Got the bill and the discount wasn't there but instead it was placed under the 24 months interest free. That is not what I wanted so I thought one quick call would correct it. OMG!!! Eight phone calls, cut off 5, once transferred in the middle of trying to explain, twice sent to another phone loop that kept telling me the correct information I was giving them didn't work. I finally called the local store in Sunset Valley Texas and spoke to Ricardo. Basically he said pay your bill and the money will catch up. Tried to explain that is had been put in the wrong catagory but he was no help. In fact, no one could help me. I have never had such bad customer service from a store in my entire life. It wasn't the $90 bucks I was saving but the principle of doing the right thing and treating people right, I am going to pay the bill in full, chop up my card and send it back to them. I know one little person doing this is no big deal to them but I will take my business elsewhere.",0,1
The Home Depot,Home Depot is a joke,"Home Depot is a joke. We just bought 5 appliances from them. They delivered them 2 days ago. We tried the washer/dryer tonight and it put water in but won't drain. I called to get someone out here and the first girl (after 20 min on the phone with her) told us they couldn't help us till 4 days later. So, we have a ton of sopping wet clothes in the washer. Called the Manager of the store and he told me we should either leave clothes in there sopping wet or take each piece out... wring them out .. and hang it on a clothes line out back. We live in a condo. Home Depot has the worst customer service of anyone I've ever seen. And, this is only half of the story. I'll spare you on the other details. We are going to return all 5 appliances we got from them and go to Lowes.",0,1
The Home Depot,This is absolutely the worst store ever…,This is absolutely the worst store ever to have anything delivered from. They tell you on the website and when you are placing the order that you will have it in one or two days and you actually get it in 2 to 3 weeks if ever. It is the worst experience I have ever had multiple times I have given them a chance and every single time it is the same thing over and over.I know everyone is using the excuse that it's covid covid covid but why is it that other companies can get their deliveries done on time and it is only this stupid store that cannot get it done right.,0,1
The Home Depot,Awful major appliance experience with Home Depot,"I purchased a major appliance on the Home Depot website that was assigned to the San Carlos store for fulfillment. After two failed deliveries that involved very poor communications with me, I cancelled the order via online support and was promised a refund in 5-7 business days. That hasn't happened despite multiple contacts taking significant time with both the online chat and support phone numbers. I've now had to resort to disputing the charge with the credit card company. Perhaps it can do better than I could to motivate Home Depot to issue the refund or, if not, post a chargeback to its merchant account.What I've learned is that Home Depot's customer support, at least for major appliance purchases, is uncoordinated between its own departments and Home Depot contractors (in this case, Temco Logistics), and is implemented in a way that discourages support requests by customers. If one needs to deal with delivery issues or cancel before delivery, be prepared to be very frustrated. For major appliance purchases, I recommend that consumers not consider Home Depot, despite their good selection and competitive prices, because of the potential headaches if something goes wrong in fulfilling the order.",0,1
The Home Depot,Multiple visits to Home Depot Murrieta…,Multiple visits to Home Depot Murrieta California and others. Great stores. & buy comparison on a global scale - Home Depot is really Great !,0,5
The Home Depot,The American Fork home Depot is the…,"The American Fork home Depot is the worst do not go there I spent $2,000 on the refrigerator that they told me was going to be delivered on a certain day all the sudden it's not being delivered now my food is bad I canceled the card I canceled the order be smart Best buy was the best way to go unfortunately I had to give a one-star because it should be a zero and their corporate is even worse than the store itself and then when you go and call them they discontinue your calls they're not there for the people",0,1
The Home Depot,Never shop at home depot,"Never shop at home depot. If you do, God forbid you have any issues, because if you call, you will be put on multiple 30 minute+ holds and be continuously disconnected. Even if somewhere else is more expensive, it is worth it. I would pay hundreds of dollars per transaction to never have to deal with their garbage again.",0,1
The Home Depot,Home depot- left my package on the side…,Home depot- left my package on the side of road by my house. If I didn't come home earlier I'm willing to bet it wouldn't be there. The item was also delayed. Don't buy online..go to the store if possible.,0,1
The Home Depot,"Negligent , incompetent and not worth your money or time.","We ordered 1600 dollars worth of appliances from the Home Depot in Riverdale Utah, and it has been the absolute worst experience I have ever had with a company. The subcontractor that they use lied and said my husband had requested a reschedule, and it never happened. We waited all day for it to be delivered and when he called to check on it they told him he had requested a reschedule. To his face!!! We were never contacted by either HD or the delivery folks about a reschedule , they just got lazy and did not want to deal with it. We were never contacted!! Then it turns out the dryer was damaged and they had to switch it out, could bring washer but not dryer. Not good enough I need both at he same time, what if they bring washer and dryer does not show up for another three weeks, or the delivery folks decide they just don't want to do it that day. They rescheduled for the 7th of May, at 3 pm and again they cant do it, some other lame excuse. Offered to upgrade the appliances but really at this point I do not trust the entire process, I feel very badly for the young lady that helped us with the sale at customer service, I hope she does not work on commission, because we cancelled the order , and we best get our money back. If they cant see the sale through to completion of delivery then there is no point. Why offer free delivery if you cant stand by the carrier with confidence , who are they hiring to do it? Do they even know? and to lie to us like we are stupid is insulting beyond belief.",0,2
The Home Depot,I purchased a dishwasher paid for…,"I purchased a dishwasher paid for installation, home depot delivered the package after 3 weeks delay and they just left the dishwasher middle of the kitchen and they saying they will install it after 2 weeks. How could you to that, i paid for installation.Homedepot is just mislead customers, lying about everything. Homedepot is not right company to buy any appliances.Please be aware dnt ever buy any appliances from from homedepot",0,1
The Home Depot,I left Lowes in Littleton NH feeling…,I left Lowes in Littleton NH feeling mistreated and scolded for not having the exact measurements for the countertop I wanted. I went straight to Homedepot. I was greeted and was made to feel comfortable. She was super helpful and expanded everything of how things would go proceeding the purchase of the countertop. I can't thank her enough. I am very happy with how I was treated.,0,5
The Home Depot,DELIVERY NIGHTMARE,"Think twice before buying an LG product ( and maybe a lot of other things) that needs to be delivered.Home Depot does NOT do the deliver. LG handles the delivery and they use whoever they can get cheapest. Driver messed up...called us saying the wrong thing was on the truck. After several calls to Home Depot and pics from driver, it turns out it WAS the CORRECT item. All he had to do was double check the model number!Now we are waiting for delivery info. Driver says he is no longer in our area. Home Depot rep said they waited on hold for over 30 minutes with LG. Supposedly Home Depot asked LG to prioritize it and have driver delivery it after all his other deliveries today. Home Depot rep said they'd would not be surprised if they just ignored that and shocked if we actually get it today. Update them if we do not get it, call tomorrow and they'll look into it further. That's the extent of their assistance and we get stuck sitting around all day wondering if it will come.",0,1
The Home Depot,Yep 1 star for the home services,"Yep 1 star for the home services. The hire sub contractors not Home Depot employees. Had kitchen upgrade that the countertop installation damages my wall real bad, home depot excludes responsibility on any damages, you have no contact with the contractors. When you pay over $10k you don’t expect to go out and pay someone to clean up their mess. DO NOT USE HOME DEPOT for home project they take no responsibility, now they want to bug you about paying them. I will never use them again. I’m going to LOWES from now on.",0,1
The Home Depot,I would post a no start review if it…,"I would post a no start review if it were possible. I have no problem with the items I purchased (or tried to purchase) so I guess 1 star is acceptable. I made a purchase online and in the Florence SC store location. The item I ordered online did not arrive on the date that I was given when I ordered so I had to have someone else pick it up for me as I had to work on that day (having previously taken the day off to pick up item on original delivery date) I contacted customer service and asked how to change the pick up person on my order and was told that I could not change the pick up person and I would have to pick the item up myself and I would have to do so within a 7 day time frame of the arrival at my local store. i explained that I could not pick up the item and that it was thru no fault of my own but because the item was delivered on the specified date. i was told sorry but you have to pick it up or get a refund, no exceptions. To say the least I was very upset about this as I had made a large purchase from the store to have my bathroom remolded. I tried to change my schedule but could not. In desperation I phone the local store and after a bit was able to talk to someone sympathetic to my problem and they arranged for my contractor to pick up my items within the specified 7 day period. I later went to the store and picked out several large items (a vanity and toilet and other bathroom items). In total I spent almost $2500.00. When my contractor went to pick up my items he was told that the vanity I purchased was not in stock! How was it not in stock? I went to the store and a clerk checked that they had each item in stock before I purchased. I paid for the items (I did not order them) Yet at pick up they don't have the item. I even bought one that I really didn't want because it was in stock. Yet by magic they don't have it. So I have a bathroom torn out and no sink and vanity to put back. Oh but Home Depot gave me a refund for it so what more do I want? (What a person claiming to be the manager actually said to my sister!) Nice products, crap service. Maybe Lowe's isn't so bad after all!",0,1
The Home Depot,Ordered a table and 6 chairs,Ordered a table and 6 chairs. Delivered today by complete incompetents.. On the way in they knocked out the power to our entire condominium unit. They ran their truck into the power lines and the delivery company that works for HD blamed the power lines for being to low though hundreds of trucks have come down this street without knocking out our power lines. This is just a bad company. Do not ever buy anything from them that needs to be delivered.,0,1
The Home Depot,I purchased 2 products from your…,"I purchased 2 products from your website. I ordered on April 5, 2021. They keep telling me it’s gonna be delivered, and never gets delivered. What kind of company is this? I’ve chatted via texts and they are NO HELP. It’s a different story every time. I’m very disappointed and will never order anything else again from your company. I will pass this on to all my family and friends not to shop here!!",0,1
The Home Depot,Wish I could give them no stars,"Wish I could give them no stars. Ordered carpet and they said 7-10 days, it’s been 6 weeks and they email the day before and canceled on us. So the carpet that should be installed on this Friday is now going to be installed on Monday. So I now have to take two days off work. The best part is I was told either Monday or go pick up you’re refund. As they laughed when they hung up the phone.",0,1
