company,title,main_comment,invited_or_not,rating
IKEA,Absolutely horrible customer service,Absolutely horrible customer service. Needed a table set that was not on the floor and was told if we go to customer service it would be brought right out. 2 HOURS have gone by and still no table. Absolutely horrible. Never again will I come back here.,0,1
IKEA,If only I had an option to put 0 stars,"If only I had an option to put 0 stars, I would have.Please listen to my call recording and let me know if I could have been anymore polite. All I did was ask to speak to a Manager. Name: John (last name not given due to security and safety purposes) got connected after 2 attempts of asking for a manager - EID (7018044) seemed to be totally pissed since I asked for a Manager. I was supposed to receive a package today the 8th May between 8AM to 5PM as per the app. When called into check they said it could taken longer 5-7 business days from when the app had to show the delivery date. The reason that amused me and forced me to put this feedback is that he made a statement ‘Nobody forced you to order from IKEA, It was your choice’. Last I remember I paid for the delivery and the products as well, If it was free I would have accepted. I don’t have any information on the tracking either. Please listen to the call recording and give him the feedback he deserves. I wish I could cancel the order and not deal with IKEA anymore. Never expected to be treated this way by IKEA. Order ID: 383212088I would be keen to know if ikea takes feedback seriously.Thanks,Mathew",0,1
IKEA,The IKEA delivery is a joke,The IKEA delivery is a joke. The driver claims there is no parking space even though we have dedicated private parking area large enough to easily accommodate their vehicle. And because they give a 7 HOUR window for delivery we have to wait there the entire time for the driver to give us false reasons not to deliver.,0,1
IKEA,Worst Service and abusive in speech,"I ordered an Alex Drawer Unit online and I made the mistake of back spacing and accidently making two orders. I ended up canceling one order and picking up only one. I was charged 3 times and refunded once for the canceled one. So Ikea charged me twice for the one I picked up. It took two hours to get it resolved and a refund. The lady told me call back if I don't get my refund in 7 to 15 days. So I called back and this lady yelled at me and called me a liar. You never yell at a customer or call them a liar. She said her system doesn't show the third charge. I told her I have been working in an office for 20 years and computer software's can make mistakes and be glitchy, she said not ours. I told her it is a computer they make mistakes. I told her I didn't remember my case number but every job I worked at we had a a computer system we log conversations in that we have with clients. She just kept arguing with me and calling me a liar. I asked for a supervisor and she said there is no supervisor. It was resolved eventually but Ikea needs to hire more professional people.",0,1
IKEA,I love ikea I don’t know what to say…,"I love ikea I don’t know what to say about this warehouse, only fabulous and grand staff",0,5
IKEA,I purchased a couple nightstands for my…,"I purchased a couple nightstands for my bedroom and when I went to put them together one of the wooden legs were warped and would not fit flesh with the nightstand. I had my daughter look up online to see if they had another in store. It stated they did so I packed up everything and went to exchange it but when I got there the associate Jessica in the Norfolk VA location looked it up and said they did not. However, she did a little more research and went to look, came back with nothing. Did more research and somehow by the grace of God they had the exact leg in the exact color in the back of the store and swapped it out for me so I wouldn’t have to return the whole thing. Thanks so much Jessica your customer service was OUTSTANDING today!",0,5
IKEA,Five months later and still no refund!,"When picking up shelving unit at Memphis store employee threw loose pieces with no box in back of my car. After driving three hours home I saw that pieces were missing. Couldn't get answer by phone so husband drove three hours back to store and was told that we would get missing pieces delivered in a few days. Months went by but no needed pieces. Husband used scrap wood to try to assemble furniture. Called store back and they said no order for missing hardware was ever placed. I was told to recycle or dispose of furniture and they would issue refund. Five months and a dozen calls to customer service later I still have not gotten refund. I disposed of unusable furniture, as directed by Ikea, so I am without needed shelving unit. Customer service has a script that they read that means nothing. I do not believe they ever intend on refunding my money.",0,1
IKEA,"Absolutely disgraceful service, if I could give no stars I would","Absolutely disgraceful service. We have a mattress within warranty which after inspection Ikea confirmed was faulty and that they would replace.When given the date that it would be collected and the new one delivered myself and my dad, who has recently had major surgery, lugged the mattress down the stairs. We waited in all day and nothing came. We called to find out what was happening only to be told it wasn't coming, someone had made a mistake. We were given a new date and told the old mattress would definitely be collected and the new one definitely delivered. So again we dragged the mattress down the stairs, waited in for another day. Nothing came. We called to be told that, again, someone had made a mistake and didn't book it properly. So we were given today's date. And again today we've brought the mattress down and waited for nothing to come a third time.Shocking service. Everytime we call we are told whatever it takes to get us off the phone and given false promises only to wait for nothing, three days wasted thanks to Ikea. We're taking our complaint further as we're absolutely furious at the time we've been stuck on the phone trying to sort this and days in waiting for nothing. Livid.",0,1
IKEA,No help at all,No help at all! Delivery never showed up and customer service did nothing. I was put in eternal hold and they said they would reschedule and never did. My order is over two weeks late and I still have zero resolution.,0,1
IKEA,Customer Service NOT Professional and…,"Customer Service NOT Professional and Abusive bad practice in the return of moneyOn March 27 I ordered and paid in ful 2 wardrobes with their respective accessories, delivered in 30 days, the day before delivery April 27 I received an email saying that a frame was out of stock? did they need 30 days to find out? or is it a practice to get free money? On April 27 the incomplete order arrived, which I rejected and the next day I went personally to Sunrise Branch to make my claim and a rude character told me that I should wait for them to call me to make the refund, today May 6, 2021 I am still waiting the call and how long will I have to wait for my money? I do not understand how USA regulations allow this outrage by foreign companies. Horrible situation !!!",0,1
IKEA,Terrible customer experience,"Ordered a complete PAX setup. Got a delivery date 6 weeks out, which we accepted and paid. Money was withdrawn and then 1 day before delivery we get a mail with 2 weeks delay on part of the delivery and a cancellation of 50% of the order. Hmmm it took you 5 weeks and 6 days to figure out you can't deliver?And you expect that we still want 50% of the delivery. So we could assemble 10 half closets? What a joke and extremely poor service",0,1
IKEA,Couldn't return items due to pandemic closures and now they won't take them,I bought items in March 2020 just before the lockdown. I've not been to return them sooner because we were locked down again from early November and the shop was only open for 2-3 months and I avoided going straight away due to it being busy in returns. My receipts had faded so they were not legible. It appears they furloughed and made staff redundant because staff were really unhelpful and wouldn't look up items and take them back with the excuse it was too long ago now. How can I return items when the shop is shut!? Ikea has now last my custom forever. I can get better stuff elsewhere and anything cheaper I can just get online so I will not use Ikea again.,0,1
IKEA,IKEA Service is ZERO!!! Better never buy IKEA again,"Ordered 2 beds, Matrasses etc... couple of weeks ago.Order got confirmed but at delevery point no news.Took hours on the phone on the chatbox firdst with Robot later with human ..... got disconnected (sayed chatbox, agent etc.... Terrible experience. Only thing that worked fine was the billing, my money is gone...Very dissatisfied..",0,1
IKEA,Placed an order it took 2 weeks to get…,Placed an order it took 2 weeks to get the order. A delivery truck pulled up two weeks later 3 hours early then the scheduled delivery time. can appreciate that but I also plan my day around the time frame that I am given. They brought all of the items into the house. They needed me to sign a document of course they didnt have a pen so I dug for one. After they left I noticed a hardware part was missing. I called Ikea twice and finally got through to someone who told me I have to wait 7-10 more days. IKEA is 2 hours away so I offered to drive their but they couldn't get ahold of anyone at the store. My advice is to go to the store and dont order online. Save yourself 100 delivery make it a family trip with the 100 and you will wind up not spending all the money and have fun for a day. IKEAs delivery is a joke dont waste your money. Most of the delivery companies are a joke as well.Signed: Pissed off and tired of crappy service.,0,2
IKEA,I love IKEA but the last few experiences leave a lot to be desired,"I love IKEA furniture the kallax in particular. However their delivery service for such a big company is a joke. It's expensive for anything that isn't very very light weight and takes weeks to arrive. You get what you pay for I suppose but you do expect an item to at least function no matter how much money you spend on it. We have now had a bad experience with two items of furniture one a wardrobe with needed work doing to it to get the sliders to work, the other a kallax which arrived cracked. To be fair to IKEA I did not call them or attempt to rectify this which is not their fault I hate returning stuff but it shouldn't be damaged in the first place. That being said I will probably use them again despite the last few poor experiences because in the end I like the furniture",0,3
IKEA,IKEA IS AWFUL,"IKEA IS AWFUL. I've gone there with a friend once or twice and thought it was very nice. Ordered an armoire for my expected child and had to pay the extra $100 for delivery. Opened the boxes as soon as it arrived and the door was damaged and a shelf. Waited on the phone for someone to answer in customer service for ONE HOUR AND TWENTY MINUTES. They told me my product would not be back in stock for two months and I could either receive a refund or re-order. Asked for refund. It then took TWO months to receive the refund, after 3 calls made into customer service again. I had one phone call where I waited only one minute and of course the two others were over 30 minute wait times! Finally received our refund today.. ONLY HALF OF THE REFUND was put into our bank. Tried to call back again today regarding it.. 30 minute hold time - had to hang up and will be calling back tonight when I have more time. VERY DISAPPOINTING DEALING WITH IKEA FOR SURE.",0,1
IKEA,Lakeside store perfectly fine for click and collect,"Have used twice during lockdown click and collect at Lakeside and after reading reviews I did worry my order wouldn't be ready or there would be an issue. However both times have been fine had to wait a while when in the car park, but other then that it ran smoothly and items were great.",0,4
IKEA,i bought like 2 times the same sofa,"i bought like 2 times the same sofa, every time i had big problems with them (like the part couldn't match each other), the support told me they will fix, but until today, nothing.i am standing with a broke sofa into my living room",0,2
