company,title,main_comment,invited_or_not,rating
Kruidvat,Rude staff,I went to Shopping Center Mariahoeve Kruidvat. I wanted just a question because my first photo book order but your man staff so rude and disrespectful. It is unacceptable. I don't go to your Mariahoeve Kruidvat.,0,1
Kruidvat,room scent diffuser…,I just bought a room scent diffuser (lavender/bergamot) and it just does not deliver what it should. The scent is virtually non-existent and certainly does not smell of anything resembling the perfume. How do I change this for another product? It is most disappointing.,0,1
Kruidvat,Perfect service,Beautiful Mat style photos. Delivered in the store on time. Very simple process.,0,5
Kruidvat,HORRIBLE photo service,"HORRIBLE photo service! Handed in my disposable camera for the pictures to be developed in January, was finally able to pick it up towards the end of March. Turns out they only developed 10 out of 27 pictures! Sent an email to customer service, they tell me they can't retrieve the pictures and that there must have been something wrong with the camera or the way I took pictures... let me tell you how for 2 years prior to this incident I've been using the exact same cameras and sending them to Hema where ALL 27 pictures have ALWAYS been perfect. I'm so mad right now.",0,1
Kruidvat,still confused,"Bad experience. First time i order something online on Kruidvat. I update my account, get an error. After a while it works, i chose my items and pay. Suppose something went wrong once more during or after payment because the order in the end did not appear in my history. So i contact client service. Ask if i should wait any longer or just place another with the request that if it is double to cancel the 2nd one. The employee simply says i don't know and closes instantly the chat. I find it rude. I won't bother myself ordering here again.",0,1
Kruidvat,The quality of photoboek is amazing,"The quality of a photoboek is amazing. We have been doing photobooks in diffrent places already and this one is defenitly the best. I gave 4 stars instead of 5, because I think the kruidvat app (for app I will give really 1 star),where you create book is quite enjoying and we had problem to crop our photos the way how we really wanted. We also tried to find some tutorials, but it was nothing, what helped us.",0,4
Kruidvat,Kruidvat Gilze,"HoiI was today at kruidvat Gilze and they are fooling the clients!! The offert with the price was for other product which wasn't there anymore, the shelf were full with other products and the women which work there was arguing with me that I have to open my eyes!!! This is not my problem is her problem, you trick clients thinking this is a good offer!!!Next time I will double check but where is the trust??? I mean you have to put the right price not trick your clients and then have a big mouth!!! She was very rude!!! Like this you only lose clients and make a bad name for the company.For the future you should hire people which have respect and know how to speak with the clients!!!And is not the first time when this is happening!!My advice, buy max 3-4products and then get out!!!!",0,1
Kruidvat,Worst company ever,"Worst company ever! I ordered from Kruidvat the first time, a few days ago. The delivery was damaged and automatically got returned. They not only refused to help me or provide me credits for my next order, their customer support simply said this is the way it is, I dont care what you say! It's so annoying! Worst customer service ever! Pathetic! Would never order or recommend it to anyone. Etos service is much better required lower amount of items for free delivery and amazing customer service. Kruidvat is pathetic!",0,1
Kruidvat,Complaint,"I ordered 3 vouchers of ""4-DAAGSE STEDENTRIP MET VLUCHT EN VERBLIJF"" on 22nd of September. Later on when I tried to use it, I found a minimum of 2 travel people is required. It was not easy for me to find a second or third person to travel at the same schedule, so I made a phone call to (0318)798001 on 7th of December and inquired if there is any solution.A madam asked my order number, personal account and some other information for verification, and then informed me that I will get my refund in three weeks. After three weeks I didn't receive any refund, so I made a phone call to (0318)798001 on 31st of December again. To my surprise, the lady who picks up the phone said she didn't find my request on your system. She said she will look at the case and give me reply later on that week. On 6th of January, this lady wrote me an email, saying ""We cannot find a request from our system. It was never known to us that you want to return the city vouchers. The official withdraw period is 14 days, so it has expired. Unfortunately we cannot do anything for you."" It made feel surprised and annoyed, not only because I got different answer, but also the city voucher has expired on 31th of December: I cannot neither use it, nor get my money back. If I have been informed that it is not possible to refund at the first or even the second call, I would anyway find a way to consume the vouchers, which spent me €387, instead of falling into the long waiting time and let them expired. so I made a phone call to to (0318)798001 again immediately, explained the whole situation. Your colleague answered my phone and said will report the case to his manager. On 15th of January I got his reply, informing me again the official cancelation date has passed, and it's not possible to give me refund and cancel my order. Still no solution. It is a very irresponsible way of Kruidvat of doing so and also very unfair for the customer!",0,1
Kruidvat,Frustratingly unwilling to provide up-to-standard customer service,"For some reason, when making my last order, they automatically selected an address where I have not lived for more than 5 years. I saw it as soon as the order went through, before it was even processed, but was told that there was no way to update to the correct address. Then things got worse.I have spent the past 5 days trying to track down what happened to this package. Thankfully, some helpful neighbors at the old address told me it was sent back. So I called Kruidvat, and they didn't even bother to take my order number to double-check. They said I have to wait two weeks, and if I don't hear anything or receive my money back then, *maybe* someone will help me.None of this is remotely acceptable. This is far, far below the standard of every other website of this type in Europe I have ever dealt with.The second star is only because the woman on the phone was polite, and it's not her fault. But Kruidvat needs to very seriously reevaluate their policies and bring them in line with the modern standards provided by their competitors.One more headache like this, and I will go back to Etos. Paying a few cents more for certain items is worth the guarantee that I will receive those items or be helped when something goes wrong.***EDIT: Response to Kruidvat's BS copy-paste response: I STARTED by contacting your customer service. This empty copy-paste ""make the bad score go away without actually doing anything"" response made me lower my score another star. I am seriously done with Kruidvat (spent a bunch of money at Etos yesterday instead).",0,1
