company,title,main_comment,invited_or_not,rating
Lidl Webshop,"Lost order, no refund, no solution, Lidl refuses to answer","I ordered a high pressure cleaner from Lidl, after I placed the order (bank payment page) was transferred to order confirmation page, but order number was not given. Confirmation email not received. Contacted the client service, they asked to wait 24 Hours! After 24 hours, no confirmation email received, also my Lidl account page shows no orders. Contacted client service again, the operator said that the order is lost, cannot be found or recovered. But told me a refund is possible in 10 days and advised to order again. After 3 days I ordered again, again the same story. Contacted client service again asked to wait 24 hours! after contacting 2nd person, she confirmed that order is lost again and offered refund after 10 days (if you read forums this is few months actually). I asked to contact other departments (like IT/technical), Lidl refused to provide any other help. They only indicate that the order is lost, but will investigate and if payment is made, will refund. Actually for 2nd case, they even don't commit a refund, even after I send my bank account transfer snapshot. Lidl refuses to investigate to find what went wrong and how in can be resolved.So if you ask me, never never try Lidl Webshop. Broken system, fraudulent ordering, unhelpful client service. The only thing you receive are expensive apologies and long waiting time on the phone. If you order expensive item, make sure you have legal assistance insurance to take legal action. So far I lost 210 euros on payments and 20 euros on phone.",0,1
Lidl Webshop,In a few days,"In a few days, it will be exactly one month from placing and paying for the order. After a previous comment, I was informed that someone would finally deliver the package. Until now, this has not happened, no one from DHL contacted, but the status has been changed to refund due to damage. I wonder who reported this damage, since no one from DHL showed up with the delivery ?! At this moment, I would like to get a refund because how long can you wait for a simple order?06.05.2021 ActualizationAccording to the information from you below, someone had to contact me regarding a refund because you no longer have this product and mine is damaged. Of course, no one has contacted, and now the DHL parcel status shows that today the courier will try to deliver the parcel again. So, will I receive a new set or has DHL repaired the old one? This is, of course, a rhetorical question. I don't want this order anymore, I want my money back.",0,1
Lidl Webshop,Good prices and good service,,1,5
Lidl Webshop,I order matras,"I order matras. I wait 14 working days and still nothing. When I contact with Lidl, he tell me *we do what we can"". Super. I get number of package to DHL, but Courier still dont get it this. From other shop DHL give me package next day. Lidl give ass, Lidl is bad shop. LIDL shop must sell stuff what has in shop, no what he can have. Never again",0,1
Lidl Webshop,Good quality products,Good quality products. Great customer serviceOnline shopping great,1,5
Lidl Webshop,Fast and efficient delivery,"During these trying pandemic times, it's often easier to ask for your groceries to be delivered to your house. And my orders from Lidl have always been fast and efficient.",0,4
Lidl Webshop,One of the best stores to shop at,"Lidl has a good policy of not only respecting their customers but also respecting their employees. That is a big difference from most big corporate retailers, that explore their workers to the max.",0,4
Lidl Webshop,I like the products from Lidl and the…,"I like the products from Lidl and the prices are very affordable. Due to health issues, today for the first time, I ordered home delivery. I never received my groceries!! I called customer service and got someone in Virginia. I’m in South Carolina! I requested the groceries be delivered to the back deck. The driver claimed he couldn’t get to the deck! duh, maybe you’re at the wrong house? Nope, he just put the groceries in the driveway.....the customer service agent offered to refund my money to my credit card or Lidl account for my next order! Seriously, this order never arrived. Do you think you’ll get a second chance? In hour ago, I received an email where I’m being charged a tip! I requested a refund on the tip. There is no way I’ll reward a shopper for delivering my groceries to the wrong house!",0,1
Lidl Webshop,Ace in the hole,"Wether it's the webshop or the actual stores, Lidl is my go to place for buying products. Really great service and a fantastic M.O on the company.",0,5
Lidl Webshop,Trust in lidl...Very happy with the product and service…,Very happy with the product and service from the website is very trustworthy..mike,1,5
Lidl Webshop,Nice and friendly staff,Nice and friendly staff. Fruit and healthy offer could better,0,4
Lidl Webshop,Delivery delay - No support,"Hello. It was the first time that I buy at the website of lidl shop but I would never buy anything there again. I bought a barbecue on April 10th. the delivery time written on the website was 5 days but up to now I didn't receive it, I tried to contact Lidl to solve the problem but the only answer they gave to me was that they dont know where my product is. Now, I'm trying to cancel my purchase to get my money back but again I'm not having a good support from Lidl. I hope my problem could be solved as soon as possible I look forward to hearing from youAdilson Simiao de Souza",0,1
Lidl Webshop,Sevice is ok,"Sevice is ok; product quality is ok & clear. I am very concious about price. unfortunatly the products, I like & wish to buy are expensive.... Please do not say ""LIDLE"" is a commercial organisation; must make profijt to survive; ... w h i l e ....., I am a customer Always looking for the lowest possible price . wish you highly profitable business to continue for centuries to come ; providing good quality product for the people who like to CLAUDE welk with lowest possible budget.",1,4
Lidl Webshop,"Awesome web-shop BUT could be even better, if such a shop would show some appreciation for 'old good and generous buyers'!","As stated during the customer's survey and in order for me to provide Lidl ""5 stars"" the following lines of text must be taken into consideration:After having used Lidl web-shop for so long and after expending loads of money on Lidl's web-shop, I must say that I never saw Lidl providing me a token of such appreciation, for all those online orders, through the offering (for instance) of a promotional redeem voucher or any other discount code. I must state that I would definitely expect more in that field...I would be even satisfied, if delivery costs could be for free, if, for instance, a minimum of EUR 25 of ordered goods could be achieved in one order. Perhaps something to consider...",1,4
Lidl Webshop,Shipment Dates and Customer Support,"Delivery was one day later. Customer support absolutely refuses to speak English, although they are seated in Amsterdam, one of the most international business and social hubs in Europe. Overall, good services and they are quick to fix any mistakes they make.",0,4
Lidl Webshop,Packages late or never come,"We've recently did our second order with Lidl web shop. The first time last year, the package was lost. Lidl had to ship again but this was more delay before we got the items.On the second order recently, package missing again. They sent it a second time, again not delivered. Now they have cancelled the order and the item we wanted is sold out. Very disappointing experience, used the webshop twice and both time there was problems with packages being delivered late or not at all. Avoid ordering with Lidl webshop unless you don't mind gambling if or when you will get what you ordered",0,1
Lidl Webshop,Good experience will be back again!,"Good experience will be back again!I have bought a tool box and i am surprised of the quality! really good! Now and then, I come back to the site to see what they have on offer. We will purchase again!",0,5
Lidl Webshop,Online order silver crest eiren kooker,"Online order for a silver crest eiren kooker.3 working days to arrive. Over cooked the eggs even on the lowest setting.Returned and replaced within the week for no additional charge. A little better but still hard cooked on lowest setting. This time returned for refund.Refund received in full within 4 working days.Plus points. Returns are easy. Complete the included return note and stick the pre-paid DHL voucher onto the package and drop off at the collection point. Simple, free, minimal inconvenience.Minus points: Products are poor quality. Do not meet description and are consistently disappointing. Prices are then, not competitive to highly rated and reviewed 1st class product supplied from Amazon UK albeit it comes with a UK power connector but in the same time as the Lidl product.I applaud the refund and returns process. Poor product experiences lead me not to want to use again. 2*",0,2
Lidl Webshop,Lidl uxbridge,Disappointed. Lidl get more staff on tills. Every time I go in there they have a person on the self service and NO ONE on the tills. Get more till staff and more people will go in. I see people leaving their basket and walking out. Do you not like 1 to 1 people contact. Get more till people.,0,2
Lidl Webshop,Best place for shopping,"Best place for shopping. I always buy food here a month in advance. I like that the price here is lower than in other chain stores. You can find many different positions.I was brought unripe bananas and other fruits several times, but this is not a big problem.",0,5
Lidl Webshop,Excellent price vs quality value,Excellent price vs quality value. Only that post takes around 7-10 days to deliver.,0,5
Lidl Webshop,Good Product and prefect customer support,"Very good quality of the product but it was delivery problems caused by Lidl warehouse. But after all, I received my product and in return discount for the delay :) I will shop again for sure.",0,4
Lidl Webshop,Delivery issues,"Ordered a mattress that was on promotion but they took time to deliver and had to chase up a few times. It sounds that either Lidl didn't have the mattress on stock, or like the communication between DHL and Lidl is not happening or they don't keep each other aware. Other than that, I like the quality of their stuffs so no issue then.",0,4
Lidl Webshop,look out on sale on at lid-shop.nl,"look out on sale on at lid-shop.nl. i make an order for 200e but i have got only a part for 30e, when i have asked why, they send me massage that the rest has been damaged and it is not possible to send a new order, but i can order these items again at a higher price.lol Since 2 weeks I cannot get my money back (order from 13-06-2019).they recognize how many people are interested in the items through the SALE, then they don't send yours orders and changing the prices - they thinking that the customer will order it again#ConsuWijzer",0,1
Lidl Webshop,they are very late on thier delivery…,"they are very late on thier delivery and no compensation is offered to the customer, for example i order something and 22 june 2019 and they packet they said would get delivered 27 june because i paid additional delivery charges and today is 1/07/2019 and my parcel is still not on its go. and i need the things urgent. so be careful with lidl if you want to order something it will hardly reach on time.Besteldatum: 22-06-2019Bestelnummer: 1105120024Klantnummer: 1154859640Here we go as you asked for it.aahhh just an update, after putting my review here and i emailed as they commented below. even than my parcel was delayed and my parcel arrived 3rd of July 2019. basically same if you will order from Ali express. crazyyyy as it is, sometimes i get my parcel faster by ali express. i hope it help anyone out there.",0,1
Lidl Webshop,The experience was great until return,The experience was great until the return. I couldn't return the item in store and they said they can only collect from my home between 08:00-18:00 Mon-Fri which is the most inconvenient thing for anyone working normal hours.02/07/19 update: Just changed to 1 star. Waited at home all day yesterday and nobody showed up to collect it. Tried calling customer services but after 15 minutes waiting I gave up. Just called again and was cut off after 1 minute.,0,1
Lidl Webshop,Waiting for matress from Lidl,I ordered a matress paid with ideal it says 3 days. So I receive a email saying my delivery is late(like I didnt already know this) 😏you will receive it around the 27th june still waiting ......my son is still waiting tried to call customer service I was 15 minutes still waiting with that terrible music playing I decided to hang up. I see that I am not the only person with this problem.Update 1 juli 2019On a positive note this morning 01-07-2019 I received a very nice email from customer services apologizing for the delay So that is enough for me to forgive Lidl and to make my wait more easy a 10 euro gift bon.,0,3
