company,title,main_comment,invited_or_not,rating
Lowe's Companies,NO STARS,"NO STARS! Rude, flip, not knowledgeable...that’s customer service at Lowe’s. Today is day 3 waiting for a delivery. When you call to complain they say...it’s not our fault, we use a 3rd party to deliver, you need to take it up w/them. Nice, right?!!! Pass the buck. 3rd day having to call customer care and even got a lady there w/a flip attitude...like I’m trying to get stuff for free. Evidently, they can’t figure discount either...one item I bought was $329 so 10% off is at least $30. I was told I’d receive 10% off my order & they are giving me $23 & change. There’s more in my order than just the one $329 item. 20 hours plus in phone calls, waiting during the days & times they said they were previously coming. Then they claim it wasn’t delivered because we weren’t home. If you’re told noon to 4 pm then that’s when I’m there. They came at 9 am!!! Time is money, ppl have jobs, time off work missed to sit & wait on Lowe’s when customer care says I do not have to be home. The store calls & says they won’t deliver until they know I’m home and they hear back from me. Right hand doesn’t talk to left hand clearly. Just ridiculous! I could write a book between the 2 deliveries in a year from Lowe’s. Best advice...go to Home Depot!! I scheduled 2 deliveries w/them the same day as Lowe’s. 6 days later, still waiting on Lowe’s that was supposed to come Weds. My deliveries from Home Depot...delivered on the days & times they said. Delivery driver was very nice, polite & professional, clean & spoke clear English. That’s how you do business Lowe’s!",0,1
Lowe's Companies,Do not buy appliances at Lowes,Do not buy appliances at Lowes. They sell inferior quality products from my experiences with both a convection microwave I had them install and then a dishwasher. The microwave burned out entirely within a year. The dishwasher latch failed within 6 months and now I must have that repaired. The last straw was when I bought blinds yesterday and the cords were irreparably tangled in manufacture.,0,1
Lowe's Companies,I have never dealt with such rude,"I have never dealt with such rude, lying, racist people in my life, and I am white. The store manager is the only one who made things right. You call and they hang up on you, so my wife goes up there multiple times. All this after buying an $800 dryer and it lasted a grand total of 3 cycles. 2+ weeks later they bring a replacement after we were lied to about requesting a replacement. These people don't even know anything about what their selling. Which dryer is better...Uuuuuuu what's a dryer? $800 with extended warranty and nobody would help us. Josh was the store manager and he was extremely helpful. The other ""managers"" so called, don't want to do anything. An appliance ""associate"" was supposed to put in for a replacement, and didn't, went so far as to call the next day and confirm it and then lied about it ""audibly"" in the background to the store manager. I have spent so much money there, I couldn't begin to count it. Nobody want's to work or do what they are supposed to. You could tell they have no interest in helping you whatsoever. I will NEVER spend my hard earned money in the North Winston-Salem, North Carolina store again. I work like a dog and these people treat you like....what do you want? Thank you Josh for your help. The only one who works in that store apparently. Home Depot is looking really good from where I am with these people. Just had the new dryer installed. Wondering how long it will last. Had to hang out clothes on a clothes line for 2+weeks. I wished I could attach a picture. Looks like the Beverly Hillbilliy's in the back yard. Freaking ridicoulous.",0,1
Lowe's Companies,PLEASE DONT WASTE PEOPLES TIME WITH…,"PLEASE DONT WASTE PEOPLES TIME WITH YOUR HALF BAKED CURBSIDE PICKUP PROCESS..Spent an hr only to be told that they can't find my stuff.. Curbside pickup seriously needs to be streamlined. Waited in car for 35 mins? And after 35 mins, i called the number again, only to be informed that there seems to be an issue with the order.. why couldn't they just call back and tell me? Second call- they kept me on hold for another 10minutes .. I gave up and went inside to find out what's going on, and after another 5 minutes of wait, I was told that they can't find my stuff and I need to come back again!!I would have appreciated if they called up after 15 mins and told me that they can't find my stuff. very disrespectful of peoples time! This is very disappointing customer service! LOW BAR LOWES for sure!!",0,1
Lowe's Companies,No customer service,"Customer service is an absolute embarrassment to Lowe’s. I have took off work for 2 days being told my delivery would arrive. No delivery, just aggravation and lies...",0,1
Lowe's Companies,Very unhappy with our stove experience,"Very unhappy with our stove experience. Purchased 4/20 was told would be delivered the next Friday. Next Friday came said wasn’t there and was showing delivery to store on Monday and put in for delivered Tuesday. No show so I call to be told was scheduled to deliver 5/14. Called the customer service 800 waited 1 hour and 14 minutes. Yes I waited but didn’t get me anywhere.the total time was 1 hour 34 min. 😠 was told it was shipped on Tuesday to the store and showed to be delivered 5/7 and suggest I wait to call Monday 5/10 to see if arrived. Of course I called today Friday 5/7 I did just pick it up and the flipping ticket says date received 5/6..🤬. absolutely no reason for them to not have delivered to me today!! I suggest if you buy and they tell you 2-7 days to ship to store to not go by that. That date is not accurate!!!!! Don’t be like me and get rid of your perfect working stove the week the new one is supposed to be in to only be stuck without one..... I would rather be told it’s not gonna be in for a month, keep what I have, then be called with hey we got your order in early!",0,1
Lowe's Companies,Customer services need more person to asnswer the phone call,"I bought a LP tank, it arrived with dent, after I make couple phone calls for discount. Do you believe every time the waiting time over 1hours. Sometimes they provide call back but today I wait 2hour and then the phone hang again. For 35$ stuff waste me some much time. What a bad customer service,",0,1
Lowe's Companies,Hold times for customer service can be…,Hold times for customer service can be many minutes to hours. Yes. Hours.,0,1
Lowe's Companies,Horrible is an understatement,"Horrible is an understatement. We have been looking for our doors delivery which was scheduled for 2 weeks ago and rescheduled twice. They didn’t deliver any of the 3 times although we had to wait at home from 7am-7pm to receive them. Can’t reach anyone at the store or at their 800 numbers. Their automated system eventually transfers to a 3rd party who handles their deliveries, yet knows nothing about your status. Save yourself the headache and time, and never order any deliveries from them. They’re too disorganized to be considered seriously.",0,1
Lowe's Companies,"Terrible Customer Service, Unreliable Delivery Service, Not Trustworthy","Ordered a product online, Lowes delivery service attempted delivery to the wrong address, the resident at that wrong address declined delivery, and they will cannot reschedule delivery. I was on hold for 2 hours with customer service before I was able to speak to someone, and after dozens of attempts at calling the San Francisco store no one answers.A few times I heard a associate pick up and leave the phone off the hook intentionally.From this point on I cannot in good conscience recommend Lowe’s to anyone. I have yet to figure out if or how I can receive my product, or how to get my $500 dollars back, $95 of which was for Delivery. Lowe’s in my opinion is no longer a trustworthy and reliable company.",0,1
