company,title,main_comment,invited_or_not,rating
MediaMarkt,Avoid wasting your money,I wanted to buy original usb from a german media markt i got the usb turns out its bootleg usb spent 15 euros on a chinese usb,0,1
MediaMarkt,Bad Customer Service Experience,"I had just recently (April 2021) very bad experience with MediaMarkt as well as their delivery service. For one delivery, it took four tries of scheduled appointments, about 6 phone calls with customer service and the day of delivery when I got confirmation to receive my items that day over the phone, later the same day I also got an email about one of the item being returned and canceled. So when I called yet again customer service as I was very confused about their email communication, I was being handled very unfriendly and still did not get a clear answer. After the customer service representative literally not letting me finish a sentence and hanging up on me at the end, I called back and after speaking to another person, I cancelled my order as I was clearly not appreciated and not treated with respect. Their prices are not the best and there are other competitors such as Cool Blue for example that are handling customers much better and with more respect. Think twice before you spend your money with MediaMarkt. I will not do the same mistake twice.",0,1
MediaMarkt,Don't buy product from mediamarkt/Worst…,"Don't buy product from mediamarkt/Worst customer service We ordered a product via mediamarkt online store on 13 March 2021 and received a defective piece, which we got to know when we opened the product for check. Within the said Excahnge & Return period we processed it to the exchange thing. Initially they said we crossed the 14 days of Exchange & Return period and when we gave them proofs then they started telling that we have used the product whilst we only opened it to check whether all parts are available and working fine or not. Later they claimed that this product doesn't belongs to Return and Exchange category and beacuse we have already opened it from the actual packaging, they can not exchange it. Also now it only can be repaired and asked for 15 working days of time to wait. We compromised with this statement and waited for 25 days. After being chased via online chat, emails and customer service calls, we are still not getting any satisfactory answer, leaving the product. I would urge every potential and current customer of mediamarkt to think before buying any product from these fraudsters. They are only interested in your hard earn money and not the customer satisfaction. I will post this to each and every social media platform so that maximum people will get into their notice before giving their precious money in the hands of fraudsters like mediamarkt.",0,1
MediaMarkt,Not return even if the product doesn't work,"I bought a hair clipper which didn't work , I returned the item to the store but they refused to take it, unlike mentioned in their policy they don't refund , they gave me another of the same model and said ""I hope this will work"", they aren't even sure that the product they sell actually works...otherwise i ve been scammed",0,1
MediaMarkt,Oh men,"Oh men, Really bad call center. You just need to fix it.",0,1
MediaMarkt,NEVER buy anything from this company or…,NEVER buy anything from this company or you'll regret if any problem happens! Horrible customer service beyond words! My card was charged €600 due to their system glitch and yet they chose to ignore my calls and emails. Its been 3 weeks and almost a month now! I get sick and tired of this nonsense so i'll just deal with my bank. Never again i'll buy anything from Mediamarkt and i'll advise everyone i know as well.,0,1
MediaMarkt,Terrible customer service,I ordered a product from mediamarkt on the 11/12/2020 and to this day the product is yet to arrive. Whilst this is not completely the fault of mediamarkt and actually postnl themselves I was still shocked at the customer service I received and having to wait almost 2 months to get my money back and only due to the fact that I called and emailed multiple times. What frustrated me was that when I called after the parcel having quite obviously lost in the post I was told that the packet will actually arrive on the day I called however the customer support lady clearly knew this was a lie. I was also told by email after having waited a week for an answer that I should have received my package according to them when it still was no where to be seen.Whilst I am not blaming them for the parcel never being delivered and I believe this is the fault of postnl I do believe that their customer service is very unprofessional.,0,1
MediaMarkt,Black hole of inefficiency and incompetence,"Like all the other people who have wrote a review here, I can also say that my experience with this company has been horrible. I had a problem with an order (84860586, placed on 25th March on their website) which has been only partially refunded, when they should have refunded me the entire amount.. No explanation for that, almost impossible to get someone from the customer service, when I got one, she was very rude and uninterested. Their Facebook page is a joke. Many promises they would get back to me, it never occurred. They justify all delays with "" it's because of the Corona""... how pathetic.. they should be simply be ashamed of themselves.. Really, never buy on line with them , unless you want to be sucked in their black hole of inefficiency and incompetence.",0,1
MediaMarkt,Ordered a TV for 2 weeks now,"Ordered a TV for 2 weeks now, they don't know what is happening and no one is delivering my order. This is the worst online webshop ever.",0,1
MediaMarkt,Zero Communication,"I ordered a TV, scheduled everything with the company doing the installation, and then got a random cancellation saying they would contact me for a new date. No updates. I asked mediamarkt and they said they would look into it, no updates from that either.",0,1
MediaMarkt,they are selling illegal items as,"they are selling illegal items as e-steps, are, its cooperating with fashistic goverment.. for them is ebike, e scooter with max speed 25kmh something other. beside e step is safer than segway. but b. tch from office is only b. tch. die in hell f. cking swamp fashistic cow",0,1
MediaMarkt,liars!!,i ordered one week ago a fridge and still the order is not processed by the warehouse. Online is saying that it will be delivered next day!!,0,1
MediaMarkt,8 days ago ordered,"8 days ago ordered, until today the product has not arrived . On the website delivery guarantee for the next day...",0,1
MediaMarkt,Disaster online shopping and customer service,I ordered a laptop online and the web page was saying that I was going to receive it in 3-4 days. However I didn’t. I tried to get in touch with the customer service and they told me I had to wait one week more because they didn’t have it. The lady told me to cancel and ask for a refund instead of compensating the waste of my time and money. I urgently needed that computer for my own company. I lost more than a week and everything will get harder and cost me time. Thanks for the insolence,0,1
MediaMarkt,Online order is completly disaster,The Home delivery is completly unorganized. I ordered a laptop from online store and after two days I received mail that the order is cancelled because it was not in the store. The website has nothing clearly mentioned which one is available and which one not. Later I called and they mention that the laptop is not available on the nearest store. When I mention that I order for a standard delivery from online store they can not answer why they cancel my order. Now I am waiting for my payment pack and God knowes when I will receive the amount... It's simply a DISASTER for MEDIAMARKT.,0,1
MediaMarkt,MediaMarkt very nice,"MediaMarkt very nice, online market very nice :)",0,5
MediaMarkt,Straight-Up Fraud,"One morning(10am) I ordered around 100 euros worth of stuff, nothing crazy, but i specifically selected same day shipping and paid extra for this service. The evening comes around and nothing arrives, i call, they tell me they have no idea where it even is. I call the next day to ask where it is, turns out it has been in THE SAME CITY the whole time but they still havent moved it out of inventory. Frankly they are absolute frauds, they offer services they know they will not provide and expect the customer to deal with it when they fail to provide it. They promise me a 3 euro refund and that the package might arrive next week while still providing no actual useful information. Please order elsewhere if you want legitimate service, hopefully bol.com or others serve you well. Good luck.",0,1
MediaMarkt,Thieves and Liars,"I give one star only because I can't write a review without one. Ordered a Samsung S21 Ultra (16000 TL, or approx. €1671.08 at the beginning of March 2021. It was never delivered and the money has not been refunded, despite numerous phone calls and emails to customer services. Three times they have reassured me the money has been repaid into my bank account, and yet nothing has been transferred at all. Thieves and liars. There is nothing further to be said about them. Thieves and liars. Period.",0,1
MediaMarkt,Stoves had to arrive on 26/3,"Stoves had to arrive on 26/3, phone call on 26/3 at 13.00 that delivery is not possible that day, but they send it back to 30/3 after I had already dismantled the old stoves. At the same time, an email arrives announcing the arrival for 27/3. Reliability below zero.",0,1
MediaMarkt,Ps5 order canceled and they say they…,"Ps5 order canceled and they say they will refund in 3 days and now i ask, they said that i will receive my money 5 to 7 working days, it’s 620 euros not 10",0,1
MediaMarkt,Simply thieves,Simply thieves ! My friend ordered an iPhone and she didn't recieve it. It's been months now and they refuse to pay her back as they don't want to assume any responsibility. Do not order anything from them.. As long as they get the money they turn their back on you.,0,1
MediaMarkt,4 ps5s got canceled,4 friends bought a ps5 today.. all got canceld. Bad company,0,1
MediaMarkt,The only reason to go here was the convenience of walking in.,"The worst website a store can have. Who the f ck do you think you are when you ask for my name, home adress, postal code and phone number for coming to pick up a product. Ridiculous, go f ck yourself and have a f ed up day.",0,1
MediaMarkt,"Product sold as new, missing items.","This concerns MM in the Netherlands. I ordered a monitor for my laptop which arrived and had obviously been opened previously as the seals had been broken and the HDMI cable was missing. I spoke to customer service and they told me I could return it and pick up a new one. I asked if they could not just send me a new/different HDMI cable, but they said I had to return the item/exchange it. I am sure they could have made this easier for me, but they would not. Hence the two star review. Surely it is easier to mail me a cable rather than having me drive 30 minutes there and 30 mins back due to their fault...?",0,2
MediaMarkt,I didn't receive my parcel,"I didn't receive my parcel. I was not warned the package would be delayed. There is no human chat, link or phone number to ask information about the order status. (Chat) Robot doesn't work properly. This this the worst purchasing experience I ever had in my life!",0,1
MediaMarkt,The mackbook I ordered never came to me,Since 2 January I ordered a MacBook and it should deliver the next day. Suddenly I get a confirmation email that my order is delivered and I called directly to the co who responsible for that the driver he says that he give to some one downstairs. I called MediaMarkt NL and they advices me to wait few days. After that I call again and the start research each research take two weeks and I back again to same point. Now after more than 2 months I don’t have the laptop that I payed for. And keep back to 0 point. Mediamarkt not honest and the customer service take my nerve. They simply don’t care. Done ever pay directly or even order from them. And after all that now I want my order or money back. Stop steal people,0,1
MediaMarkt,Have been waiting for my order…,"Have been waiting for my order #84302485 for almost three weeks but the response from the support team is always ‘As soon as we receive a response from the carrier, we will be able to help you with a replacement order.’ I don’t understand why I need to wait for the response from the carrier, if the investigation time has expired? Customer support on the phone told me that my order was cancelled but no one notified me, no mentions of replacement or refund.",0,1
MediaMarkt,The most horrible online experience…,The most horrible online experience ever.I am dealing with the customer service team regarding a returned item and refund since the first day of the lockdown in December and today the 5th March so almost reaching 4 months now with no refund.,0,1
MediaMarkt,I ordered a washing and a drying…,I ordered a washing and a drying machine that had the wrong size and customer support has been terrible. Although the machines have never been started they will withdraw a fee from the original price. The return arrend transferred to a email conversation from their part after my call and it takes them several days to reply. Everything with their service is horrible,0,1
MediaMarkt,Very worst support team.,Very worst support team.. no proper response incase of any query..,0,1
MediaMarkt,"Ordered a printer, got a mount bracket for a tv. Website seems to be set up to NOT contact them","I ordered a printer, got a mount bracket for a tv. Can't find a button on their website to call them, or contact them. Don't order here.",0,1
