company,title,main_comment,invited_or_not,rating
Tesco,dont even deserve 1 star,tesco online late 2 hours again spoke to head office they said it nothing to do with them at tesco head office so why it not there problem. still awaiting for my delivery and still awaiting for a manager to call me back this is every time i order its late techincal fault my a--- every week this becoming an excuse donot use them better off trying another online company cause i will waste of time people,0,1
Tesco,Worst experience ever,Worst experience ever. Idio I am 40 yo and they asking me for id to buy been. W t...f?,0,1
Tesco,How low are Tesco prepared to go,How low are Tesco prepared to go. Buy 6 bottles of wine and if one of those includes an in-house reduction then you lose a massive 25% off the whole cost of those 6 bottles of wine. In my case that was over £9 lost. When I realised back at the car they got the wine back and all the shopping. How many people don't check the receipt. WHAT A SCAM,0,1
Tesco,Decent customer service from manager…,Decent customer service from manager after very poor altercation with staff member!!!,0,3
Tesco,tesco broadbridge heath the nest time a…,tesco broadbridge heath the nest time a customer is in the way and you would like them to move ask them instead of yanking there trolly causing there child who is holding onto it to fall over and then have a go at said customer when she mentions it truly shocking behaviour you should be ashamed of your selfs,0,1
Tesco,Deliveries made 100% of the time. Keeping my parents safe.,"Each delivery saver pass lasts 6 months. The first one was mainly for elderly parents in lockdown. Of the 42 deliveries there were no cancellations (which is quite remarkable considering pandemic and weather conditions in cold winter). I guesstimate only 3 or 4 refunds were made for inferior product (kefir that was bad on delivery, bad looking beans), totalling about £10 in value. No quibbles so far with any refunds requested. We’ve never asked for bags. Always had our own boxes and bags by the door to load off the baskets.I’m pleased to say that we have collected enough Tesco points for a free delivery pass. And parents have found Tesco very reliable come rain or shine. They’ve not had issues with bagless delivery and have not caught Covid off anyone (incl Tesco drivers). I want to thank Tesco for being ever so dependable. They always deliver and we will continue to use the delivery pass in the future.",0,5
Tesco,Experience of the latest mechanisms for home deliveryYesterday I received the first home…,"Yesterday I received the first home delivery from Tesco with the goods I had ordered in the green trays without bags.Some observations:First of all, this means the drivers have to take much longer to deliver the goods – which means they are longer in your presence thus providing more opportunity for viral transfer – in both directions.Secondly all the goods are rehandled as they are delivered. In these pandemic times, no longer do customers have the security of knowing that probably around 12 hours have passed since these goods were previously handled (thus reducing any possible viral contamination). At least with deliveries in the plastic trays, most goods were not re-handled on delivery. Whether the drivers wear or do not wear gloves is irrelevant; no one can be sure gloves and hands are being adequately sanitized between deliveries, nor that drivers taking goods to other homes and spending longer therein, have not picked up viral particles.Thirdly reading between the lines on the website, Tesco is keen to encourage everyone to either go to the stores or, at worst, to use Click and Collect. One reason for using home delivery, of course, is weight. I had over 70 items delivered to my home yesterday including liquid – milk, fruit juice - which is notoriously heavy, hence the need for home delivery.Tesco is acting as if the pandemic is over. It is not; look at India.Nor is it taking on board the challenge with weight for many customers.I have found Tesco deliveries enormously beneficial over the last year, and the drivers in the main helpful and co-operative, but it would appear that customers do not rank highly enough for Tesco to take their possible concerns on board.I believe Tesco needs to start thinking about the needs of their customers if they wish to retain them into the future. Tesco may also like to think about encouraging suppliers to use packaging which can be recycled, rather than forcing customers to bear the brunt of difficult practices in order to tick some box somewhere.",0,1
Tesco,Ordered £150 worth of food,"Ordered £150 worth of food, all delivered without bags it took me 30 mins of my time taking things out individually while the driver just stood there patiently waiting. This whole bagless situation is joke, why not follow what Ocado does, charges 40p for all bags and then next time the delivery comes, they buy the bags off you again for 5p each and they are recycled. Why should I have to hold filthy dirty plastic trays that the driver has just handled and other countless other customers. Also stop delivering bread that has 4 hours expiry date left, not even a huge family can eat a whole loaf before it expires.",0,1
Tesco,driver was so rude swearing at us…,driver was so rude swearing at us refused to leave food in the baskets then took our shopping away when we tried to reach out to Tesco on the phone were told the driver was doing the right thing that he was not rude just his approach we spent hundreds of pounds with Tesco every week this is the last time we shall shop with them never again so disgusting the driver should go to pick up some manners first stop using obscenity to customers!!!,0,1
Tesco,Delivered without bags and told bags…,Delivered without bags and told bags are no longer available. 100+ items having to carry them a few at a time! Ridiculous thing is they provided 1 x plastic bag for the potatoes when this could easily be a paper bag. Come on Tesco’s don’t state your cutting plastic and then use it unnecessarily. At least provide the tray liners so we can carry the contents of the tray in at once.,0,1
Tesco,Doesn’t even deserve a single star,"Doesn’t even deserve a single star, not only are the staff rude they were foul mouthed as well. Staff were swearing at a elderly couple for taking to long to load there items and then when I went to pay for some energy drinks they wouldn’t let me have them because my partner who is older than me and also my carer didn’t have her ID on her I showed mine and proved it. Then my partner got told to grow a bit taller then she won’t look like a child.",0,1
Tesco,Overall good experience with product diversity,I have been using Tesco for almost 7 years and I can say that they do have a high variety of products.,0,5
Tesco,delivery several hours late and no contact.,"booked a one hour slot and 2+ hours later it still not here. No information, no texts, nothing. CS wont give me an ETA and can just let the store know so it doesnt happen again. Being late happens Sainsburys, Morrisons, Iceland all been late 1 time but all had the courtesy to inform me. Keeping customers informed is CS101. Tesco clearly scraping the bottom of the barrel if they cannot achieve the basics",0,1
Tesco,Brilliant delivery service this…,"Brilliant delivery service this morning, Andy was awesome, trays very clean, will use again instead of Asda",1,5
Tesco,Quick and easy to get around the store…,Quick and easy to get around the store and staff very friendly and helpful,0,5
Tesco,"disgusting, horrendous. made my mood cranky. racist.","chavs outside of Tescos, revolting customer service, mean people giving evil eyes, really racist and rude ass boneheads. really disgusting shop extremely overpriced!!! does not match Aldi or whatever. smells malodorous. really prolonged ques. customer service goes at snails paste. so crap. always babies crying, too many kids running around. not peaceful at all. substandard experience. wouldn't recommend it to my dead neighbour.",0,1
Tesco,excellent response,i have been having Tesco deliveries since the first lockdown and we were shielding. Generally the service has been good as well as products with just occasional issues. Tesco's range and pricing beats all of the other supermarkets. However this week i had several issues with my order largely because it must have been picked by someone with little experience [lawnseed instead of plant food for one]. anyway I made a complaint high up and wow did they respond. my wine which was out of stock was obtained from another store and the other issues remedies the same day along with a lovely bouquet. I cannot speak too highly of the way this was handled. I shall go on using them in the future. Thank you Tesco!!,0,5
Tesco,Racist by security,"Racist by security, I went there for so many years, but no more, complain to the manager, he is useless, never seen him there before, he told me is routine, waste more time for nothing, I walked out, he asked to check my receipt, I stood for 10 minutes, he never stopped any one else.",0,1
Tesco,Higher prices in Express stores!,"They have introduced 2 prices for some products, the lower price applies if you scan a Clubcard. I’m not keen on this idea, however, as this is the way they are currently operating it should be across all stores. It does not seem to apply in Tesco Express stores. They advertised Easter eggs at £2 each with a Clubcard, but they are £3 in Tesco Express stores. Poor!",0,1
Tesco,Highly recommended,"Delivery was good and quick, price was reasonable,would highly recommended",0,5
Tesco,Highly recommended,"Really good service and helpful and friendly staff, good price , highly recommended",0,5
Tesco,Normally good in Tesco,Normally good in Tesco. But lately the glutton free freezer is half empty. Have to go to Sainsbury which has a better selection. Come on Tesco look after customers or they will go elsewhere.,0,4
Tesco,I’ve just used click and collect for…,"I’ve just used click and collect for the first time. Ordered 10 towels. E-mail confirmed. Text reminder. Drove to collect, only 2 out of the 10 there. Told by the guy that they never keep 10 of one type in stock, so impossible to ever honour the order. Not informed that that was the case otherwise, obviously, wouldn’t have wasted my time. Customer service absolutely no help, just said they could only give what the store had in stock, in which case what’s the point of ordering a week in advance! I will go back to Amazon, such a rubbish, nonsense, experience.Customer No. 62973141 Order no. 649099386",0,1
Tesco,I used to shop at tesco all the time…,I used to shop at tesco all the time but will no longer after they introduced the ridiculous 'Clubcard' prices and essentially forcing customers to apply for a clubcard. For which they will use all your purchasing data to enhance their corporate strategy and build up a profile of each of their customers. Simply to allow them to give out enhanced targeted ads.,0,1
Tesco,Excellent and on time,My family periodically orders their groceries online from Tesco and the service has always been excellent and on time. Recommended,0,5
Tesco,Fairly decent selection and competitive…,Fairly decent selection and competitive prices with some of the German rivals. Some staff in stores dreadful but made up by the good ones also,0,3
Tesco,Very good experience all around thanks,,0,5
Tesco,I would like to mention the Staff at…,"I would like to mention the Staff at the TESCO, Churchdown store in Gloucestershire. Whether I have asked for help from the Store Manager, to the youngest or newest shop floor member of staff the Staff have always been professional and very helpful to me as a Disabled (wheelchair) customer.I would especially like to mention the Community approach when supporting the Poppy Appeal.I have organised the collection at this Store from End of Oct to 11th Nov nearly every year since it opened 2013.The generosity of the Customers and the high-level of support offered to me and Poppy collection volunteers has always been excellent. Every Store Manager over these years has gone out of their way to stop the tills at 11.00hrs on the 11th of Nov, with staff standing in silence.Furthermore, last year the Store Management Including Lee Trunks, Hannah Impey and other supervisors promoted the Poppy Appeal even though the Lockdown ment our volunteers could not be there.Over these years of Poppy Collecting we volunteers get to observe the everyday working of the staff and could list many customers who have said how this store is so friendly and has a community feel to it.I'm sure I have had a 'non than perfect item of fruit or vegetable' in the thousands of pounds worth of food I have bought since 2013 and I even thought there would be issues about added traffic ( I was wrong, no traffic problem) etc when the store was built. Additionally, this store has been a firm support to our local community, especially during times like the Pandemic with staff putting their lives at risk to provide nearly everything we have needed ( except when customers bought a lot more loo rolls than they might have needed).PS to be clear my only ties to TESCO is that of being a Customer and a volunteer to local community groups.Well done the Staff at the Churchdown TESCOs, Gloucester.",0,5
Tesco,Nasty nectarines!,"Nasty nectarines!My wife Bought some nectarines from Tesco the best before date is 15th of March. They had already gone off, rotten in another words by the 14th.",0,1
Tesco,HUMILIATED AND BEING MADE TO FEEL LIKE A THIEF,"I used a self-serve till at Tesco and the machine didn't offer me a receipt. Since half my purchases were for an elderly neighbour, I asked for help in getting a receipt. The manager came over and used his card to go back in the system and when my purchases were displayed, he then claimed that I hadn't paid!!!I explained that I saw the message ""approved, remove card"", confirming that I had paid but he wouldn't believe me.On arrival home, I checked my bank statement online and I had indeed been charged TWICE. I phoned Tesco but the guy told me I would have to phone back the following day and obtain an ""Authorisation number IF I could PROVE that I'd been charged twice and must then appeal to my bank.""I did this this, and after several epically long phone calls and speaking to several people at my bank (this took the WHOLE morning!), I was informed that this is NOT the way to obtain a refund; I must simply wait for the charge to ""Drop out"" of my account!!I then used 'Resolver' to approach Tesco but their whole attitude was that of denial - they simply would NOT believe me. When I threatened legal action, they pretended that my Resolver letter had gone to a ""non-monitored"" email address. I felt totally humiliated -aagain- and being given the run-around and virtually accused of being a liar. I also find it INCREDIBLE that they don't KNOW if someone has paid their bill- HOW can they run a business like that?If someone were to shoplift by not paying with their card, they have no way of knowing what the truth is- I saw the screen after the manager called it up and there was indeed NOTHING TO SHOW that I had indeed paid. 4 days later, their charge is still in my bank account and the ripoff and humiliation HURTS: Tesco now say I ""Must PROVE"" that I have been made to pay twice, yet I had already scanned my receipt and my bank statement and sent it to them. Are they suggesting that I have FORGED my bank statement- I hate being made to feel a LIAR AND A THIEF.",0,1
