company,title,main_comment,invited_or_not,rating
The TJX Companies,TJ takes no care in how they pack their…,"TJ takes no care in how they pack their online orders. I got a huge box of heavy items and more than half of it was ruined and leaking. Only one or two items had protective bubble wrapping. All thrown in a huge box, no cushioning.Of greatest concern was the fact that there were four very heavy rechargeable batteries in the box. This is most likely what caused a lot of the damaged items. They were labeled, ""Hazardous"" and ""Wash Hands after Handling"". The presence of these hazardous batteries were the deciding factor in my decision to take the return in to the store rather than returning it by Fedex. I went through the invoice and marked the quantity of damaged items, organized them by type and took to the store for return. This was a large order and this was quite a bit of work, but I figured it would simplify things when I went in. Still, the in-store part took well over an hour and the ""coordinator"" was patronizing to the point of being entirely rude.When I told her about the batteries, she attempted to refuse accepting them, saying ""We have no way to dispose of these."" She called a manager over and beckoned to her to have a private conversation in an adjoining cashier bay, behind a dividing wall. As if I were suspect. I went around the barrier and questioned why the conversation needed to be private.The manager told me that that store was getting a new recycling vendor within the next week or so and that they would dispose of these properly. After that exchange, the coordinator dropped her snide and condescending manner.Although I had the invoice, the number was not on it, so I had to either accept a store credit or come back. Also, I had not brought the credit card I had used for the transaction (silly me, I thought that would be in their computer), so I accepted the store credit. I did, however, refuse to show my driver's license. I had a valid receipt. It was not my fault it didn't have the needed info on it. Plus I had to wait a good half hour while the coordinator keyed in all the info because of the lack of the invoice number on the TJonline-printed receipt. Normally, I would've just showed the license. But they were treating me like some kind of bum despite the fact of being greatly inconvenienced by TJ's foul ups. I had counted the items and totaled so that it would be easy to determine if I had received the correct credit. When they came up one item short in their count, the manager was called again. Her count was one item short. To verify my notes made ahead of time (made specifically to avoid this type of issue and time wasting), I counted and found my notation was correct. Another thing I would've just passed over if I had not been treated in such a disdainful manner.After an additional five minutes wasted, their finally conceded that my count was the correct one. Did they say, ""oh, sorry""? Lol.Any time I pointed out their unhappy as-if-I-were-somehow-to-blame demeanor, they kept saying ""Online returns are such a problem"" or something like that. Yes, I understand that. But they ARE on the clock, no? They made it very clear that I was a nuisance.Conclusion: Don't order too many items in one order, don't mix heavy items in one order. Use their return tag to return damaged items. When they say you can return online items to the store, it doesn't mean you'll receive civil treatment if you do that.",0,1
The TJX Companies,Tried to pay with my Tjx card which is…,"Tried to pay with my Tjx card which is in good standing and has $1700 to spend. I went to check out and it got declined, the service rep just stood there as I tried to understand why my card wouldn’t work. I asked her if there was another way to pay without the card and she said no. I went in my app and I see a digital card that says for me to give to a rep at checkout which annoyed me because she had just told me there was no other way? I gave her the digital card and she almost refused to try it until the manager(crystal) came over and entered it in. It still didn’t go through and I asked her what to do and she tells me to call, meanwhile it’s 9:00 at night and I was just standing online for 30 minutes, I have a pregnant wife with me and a 3 year old, and she can’t do it cause it’s not her account she tells me... there’s nothing she can do. This is the worst response a manager can say to a customer who is looking for help and trying to make a purchase. The business SUCKS. Employees are miserable and lazy. I will never go back to TJ Max in Poughkeepsie, NY, it is trash.",0,1
The TJX Companies,I opened up a charge card and I was…,I opened up a charge card and I was quickly approved and I was happy about that I bought like $175 worth of stuff and I took back most of it except for a bathing suit I think the bathing suit was $29 when I got my bill it was $150 needless 2 say I won't be shopping there anymore I paid the bill but I'm done,0,1
The TJX Companies,Will never shop online on TjMaxx!!,"Will never shop online on TjMaxx!!Buyers beware!!!Took my order forever to get here! Received damaged items!Costumer service the worst ever!! Not helpful at all! Will return the whole order just by how I’ve been treated by their costumer service.Will never buy there online again! I am a costumer who goes to their store every week and obviously spend money there, now I won’t go there hopefully in a very long time!!",0,1
The TJX Companies,Shari in St Charles MO is amazing,"Shari in St Charles MO is amazing, as well as her team!",0,5
The TJX Companies,Tjmaxx scammed me and gave me an empty black box for $80 instead of the ring I purchased,I purchased a ring from tjmaxx.com and I only received an empty black box. I contacted customer service and they didn't do anything about it. I am out $86 and I want to warn others about purchasing jewelry or other expensive items from tjmaxx. I believe whoever worked at the packaging for the online store stole the ring.,0,1
The TJX Companies,Probably one of the best companies to…,Probably one of the best companies to make it through a pandemic. Still open late and have the best deals. The lines are long but that's ok when you're getting good deals,0,4
The TJX Companies,I ordered a lot of clothes online from…,I ordered a lot of clothes online from tj maxx for me and my kids a few week back and I received all my items. I made 4 orders and didn't have a problem with any of the orders. My first order took 9 days but the other 3 only took 7 days. The clothes looked great!,0,5
The TJX Companies,On-line Orders/Website,"I placed an order a couple of days ago. I just received an email notification two of my items were cancelled. One of the cancelled items was the main reason why I placed the order in the first place. I purchased additional items in order to save on the shipping charges. I called TJ Maxx's customer service to ask if I can order a sized up on the same item. After the rep asked a few questions, she then tells me my order cannot be modified or cancelled. I can understand if I decided to add an item or exchange this item with a totally different item, but I wanted to adjust my order based on the lack of efficiencies of TJ Maxx. Their website should have been updated immediately the size I wanted was no longer available. I would have ordered the next sized up at that time. Going forward, I will not be making any more on-line purchases with TJ Maxx.",0,1
The TJX Companies,These stores are very bias they cater…,"These stores are very bias they cater to the skinny people only one rack for plus size, whoever does the ordering for ALL T J MAXX SUCKS HAS NO IDEA WHAT TO ORDER. I DON'T and will not shop there ever again and will not recommend others as well.",0,1
The TJX Companies,I have loved this store forever,"I have loved this store forever! Most of their products are amazing. I've gotten some brand name clothing for great prices. Also, some really nice home furnishings. My favorite item is a beautiful stained glass lamp that I got for $79. The same lamp was $200+ in regular stores. Pre-Covid I went to the store at least once every couple of months. Their stock turns over fairly quickly, so when you find a deal, buy it right away. I'm so looking forward to being able to do in store shopping soon. My local store is very clean and organized, and the staff is friendly and helpful. I've only had to return one item over the years, and they were very accommodating. I have not tried out their online store, so cannot comment on that aspect.",0,5
The TJX Companies,Customer service sucks,"Customer service sucks! The employee who is not a native speaker and has an accent, cannot get past the start of the call, as the computer does not understand accented English! Discrimination!!!!!!!!!!?????",0,1
The TJX Companies,Tj credit card,Because I made an additional payment on my card to make room for a big purchase they locked my card!! The rep and supervisor said they have that right to do that for 21 days!!! It was an 8 day hold for me. Pissed!,0,1
The TJX Companies,Terrible Credit Service,"I would like to be clear, that the store and most of the staff here was friendly and helpful. The issue began when my mom was encouraged to open an account, which she did. The associate entered her previous address which she indicated was not correct both before and after it was processed. The sales associate informed her she would be able to call and fix this issue or change the address online....My mom is not tech savvy so she called and after three hours and several transfers she was told that they would mail her the change of address information...but to the WRONG address!I called back with her and was informed that to change her address to the correct address she would have to send a five second video of her holding her driver’s license, and two proofs of address (they used an example of utility bills or bank statements). Seriously?! To open the account they only asked for her driver’s license and social security number, when it comes to changing the address to receive the bill so she can pay it, they want to verify as much as one would have to for a passport. It was just shy of asking for a DNA sample. Five transfers, later, we paid the bill online and closed the account. I asked if we could receive and email for payment confirmation as well as verification for the account closure and you guessed it, “it will be mailed”....to the wrong address 🤦🏻‍♀️ This is ridiculous and unacceptable. A company that is so quick to open an account with little information and virtually no security precautions to protect a person’s identity, but makes it impossible to fix a mistake THEY made on an address so the customer can pay their bill; should re-evaluate their policies immediately. Feel free to shop the deals, but know if you open a credit card with them, you will also be opening a can of problems and aggravation. Happy shopping...",0,1
The TJX Companies,mismarked merchandise,"I have been a loyal TJM customer for over thirty years, and am pleased with the merchandise and gift selections. However, this is the third time an item I wished to purchase at the Greenwood Village, CO store was apparently mismarked and they refused to give me the sale price on the tag. This is not the customer's fault and disappointing when we are shopping for sales. The store needs to honor the tags that are on the items.",0,2
The TJX Companies,Filthy Clothing For Sale,"Last Sunday I was at TJ Maxx Pensacola,Fl and looking at a The North Face jacket. I noticed it was dirty on the inside (stain on collar; dirt stains around inside pocket and condemns in the pocket. I asked to speak with a manager and it took about 5 minutes for her to arrive. I showed her the jacket gave her the handful of condemns and asked if they sold used merchandise. She just smirked at me. She told me no one had worn it. Especially as expensive jacket. I felt like I was bothering her. I just thought the store would like to know. She did apologize to me when I turned around to leave.",0,1
The TJX Companies,It's as expected,It's as expected. I found some pretty good deals at the Lakewood store but its messy in there. They need more people refolding and keeping it in order. Or they need better customers. Found a great pair of Sketchers slip on sneakers - comfortable and less than thought they'd be. TJ Maxx is good for your average person on a budget,0,3
