company,title,main_comment,invited_or_not,rating
Walgreens,Walgreens is the worst pharmacy I have…,Walgreens is the worst pharmacy I have used. My script was faxed in 7 hours ago. I repeatedly checked their automated system which stated it was being processed. I called the Lorain Ohio store and was told they were swamped and to wait for a text. That was 2 hours ago. Will take my business to another pharmacy after this. Worst customer service ever.,0,1
Walgreens,Dishonored Appointment,"I scheduled a Chickenpox Vaccine for my child today. I registered the appointment online, got the confirmation email with my confirmation code. We showed up ten minutes early as requested. We waited in line. We got to the check in window to be greeted by a young man who was confused by our request to get this vaccine. He seemed to think that we were just walking in. We showed him our confirmation code and were told that we would not be served. They were too busy. Come back in 7 hours and they could help us.",0,1
Walgreens,Thank you to Thomas crossroad…,"Thank you to Thomas crossroad Walgreens@Newnan Ga for awesome customer service,was in there yesterday picking up prescription the pharmacy was very busy and still smiling and do a wonderful job ,but of course there is always that one smart mouth mad customer,the workers just kept being professional and smiling ,the staff is doing a great job ...😊❤️",0,5
Walgreens,Bad management,The walgreens I have been going to for years changed pharmacy managers. Now they are constantly out of stock and new policies by the manager are unreasonable. Walgreens store #10307 grand junction is the worst,0,1
Walgreens,Waited OVER 40 Minutes.,I was also waiting 40 minutes for a prescription I called in 15 hours before arrival. Terrible terrible service. They claimed a power outage. All other retail businesses in nearby strip center have power! Lights are on!,0,1
Walgreens,This is the worst experience with a…,"This is the worst experience with a pharmacy I ever had. I was late in picking up a prescriptions I had one extra, It was ok, I am not a drug addict and far away I don't like to take prescriptions or get chemicals in my body I went through quimo, Cancer in remission now, I drop one of the pill in the berber carpet and I could find it, I ask if they could give me a pill one day before they refill it they treat me like a drug addict even the Dr. gave the approval and the Insurance too, they are the worst a horrible experience.",0,1
Walgreens,"Horrible face masks, worse customer service","I purchased disposable face masks at the store at 2010 S. Fry Rd, Katy, TX 77450. I purchased the only brand of face masks that the store had in stock. When I got to my car, I tried one on since they had a different type of ear attachment. I had a hard time getting it around my ear, but more importantly, I immediately was overwhelmed with a very strong chemical smell. I had to remove the mask immediately. I went back inside and returned the box of face masks. However, I feel very strongly that Walgreens should NOT be selling such a poor quality product. If I hadn't thought to try one on then, I would have been left to choose between wearing this horrible, chemical-smelling face mask (probably triggering a migraine) or not wearing one at all, which during this time could be life threatening. When I got home, I tried to submit a ""Product Concerns"" form on Walgreens website. It would not let me submit, saying that I had not entered a ""correct product name"", even though I entered the name on my receipt AND the UPC code. I called 1-800-WALGREENS and was on hold over 25 minutes & still no one answered. I then tried to 'Live Chat"". It let me enter a brief complaint, but I never got a response back. I am so disappointed in Walgreens. Even though I got my money back, I just wanted to ask them to remove these very poor quality products from their shelves because they are potential health hazards, but they did everything they could to block me from even expressing my concerns.",0,1
Walgreens,BAD CHOICE!                                   I recently moved to Elyria and moved my…,"I recently moved to Elyria and moved my pharmacy needs to Walgreens in Elyria. I've used the drive through 4 or 5 times for my monthly refills. I just found out they charged my flex spend card on file Full price for my prescriptions. They did not use my insurance copays. When I confronted them about this $500 mistake, They only refunded 1/2 of their mistakes since January. What a poor sorry excuse for an actual drug store customer service !.I am handicapped and went into the store for vitamins and some other things I found advertised at 50% off. When I checked out they charged full price on all 9, 50%off items. What a sorry place this is. I pulled all my prescriptions from this store never to go back ever again! You should do the same! Go to Discount Drug Mart they are wonderful!!! Drug Mart works for and deserves my business and money!!!",0,1
Walgreens,Went pick up my medicine on drive thru,"Went pick up my medicine on drive thru I was there waiting for almost 30 minutes and don’t even said hello or something This people need help or somebody to organize the Pharmacy and explain to the employees about customer services, how to treat customer",0,1
Walgreens,Defective  product hair color,"Defective product, hair color product, burnt scalp, turned hair bright clown nose red hair, fried hair. Had to shave head. BOYCOTT WALGREEN'S NOW. PROTEST IN BEND OREGON. CONTACT ED CORPORATION and store, CEO, SHAREHOLDERS, no response!!!!!",1,1
