company,title,main_comment,invited_or_not,rating
Walmart,As I was shopping I bent over to put…,As I was shopping I bent over to put stuff into my cart and a worker came over and rammed his cart into mine causing my cart to hit me in the face. without saying sorry he bolted away. I do not like the customer service here and do not recommend.,0,1
Walmart,What has happened at Walmart,Went to walmart yesterday to see the mess they have created by eliminating full service checkout and forcing customers to do the checkout themselves. What happened to customer service 🤔. Apparently it's gone. They are charging higher prices and we have to scan and bag ourselves?? I asked 3 different clerks where they moved the magazines from the checkstands where they used to be. None of them knew. Not going back.,0,1
Walmart,Delivery Date late.,"Delivery Date late.It was indicated when I placed my order it would arrive April 29, 2021. Instead it arrived May 7, 2021. I called customer service to expedite the order, and they did, after a few days had passed from the promised delivery date.The order arrived in Good condition, but if Walmart is attempting to compete with Amazon, they'll definitely have to do better or get left behind.",0,3
Walmart,Terrible customer service represenatives.,I ordered a bed 11 days ago. It was shipped to a non existing address. I called customer service to correct the problem. It was never fixed. Finally I cancelled after waiting 9 days. The next day I received a email saying that it was delivered. It was never delivered. I'm still waiting for my refund. I've called about my refund twice. Was given a conformation number. My refund is still not back in my bank account. I will never purchase anything again from Walmart. In store or online.,0,1
Walmart,Walmart refuses to open up their isles…,Walmart refuses to open up their isles they always have one open and they’re so surprised it’s long they don’t know what to do total confusion i’m not ringing up my own stuff so I left a whole cart full of stuff behind they can put it away themselves,0,1
Walmart,Do not buy gift cards or any kind,Do not buy gift cards or any kind. The store has no sign that says if you buy you can not return you are sol when you buy them. The only sign is at the front of store at customer service. Store employee didn't even know you couldn't return it. Who is going to walk to the front of store to check their policy on returning item. What's new it's a big business that can screw over the customer and they dont care. Your problem if you buy from walmart.,0,1
Walmart,"Never ever get a pay raise, dont ever get gravely ill...!!","Never ever get a pay raise. Unless it's part of your first two years there, there are no pay raises unless you want or decide to get promoted. As a manager you have no family life. They suck the life all out of you with 12 and 15 hour days, day after day. There is no teamwork. The managers don't even talk among themselves as friends and acquaintances. It's really sad that way, no unity, overworked. And if your a female it's walking into the boys club. I won't elaborate on this because you can't 'prove it' . But as a guy,....Good luck! Between my wife and I having over 35 years service to the company we never ever not even once saw a person get a pay raise. No raise without promotion no matter how good you are! Experience means nothing. If your a woman..you simply overlooked for most everything. Unless your one that gets along really, really well with the right boss, then your fast tracked! Boys like pretty girls. Its a boys club, all about Pets pick! Open door policy by appointment only. I thought florida might be different.I was termed when I was sick in the hospital. Never got a chance to keep my life insurance or anything. I got a letter 3 months after I got home. Talk about upstanding places to work , eh?!!",0,2
Walmart,Received a damage chest freezer,"I ordered the chest freezer last week for $199.99 and I got it yesterday. When we opened it, one bottom side is damage. It is the dent on the end of the right front corner near the control buttons of the freezer. I am not satisfied with the delivery. I need some of the refund. I did take the picture but there is no attachment to post the image.",0,1
Walmart,Awesome service online,"Awesome, gotten better. I ordered online in mid morning and got my orders at noon time! They have improved their online services! I think they do need to improve on their gift cards. I purchase gift cards to get 3 cents of gas, which I think is pretty good offer, but I have been getting cards that can't be read, like there's something defective with stripes.",0,5
Walmart,Do not order online at walmart.com,"Do not order online at walmart.com! I purchased my mother a mothers day gift that was $263.00 on april 29th. My package was suppose to arrive may 3rd. it didn’t come may 3rd, so i watied. 5 days has passed and i dont have my order and mothers day is sunday. i called , and unfortunately my shipment was lost so i had to get a replacement. This place is freaking horrible and needs to be shut down for their bad customer service online",0,1
Walmart,A special employee Tammy Ridriguez   at Walmart,"I want to give Tammy Ridriguez a special thank you for the help she gave to me on 5-3-21. I was waiting for online order pick up at Walmart 7800 Summer Creek Dr Fort Worth Tx 76123. I stepped out of my vehicle and accidentally locked my keys in my car while running and had my dog inside. She offered me her phone so I could call a locksmith, brought me a water and kept checking on me to make sure all was ok. She went above and beyond her ability to help me in my situation. While others might have just went about doing their job, Tammy did her job and helped me at the same time. Tammy was a huge help for me, as I could have been stranded there for hours, but with her help it was a quick set back for me. I’ll never forget her amazing ability to calm me and let me know it was all going to be ok. She was my Angel and I appreciate her dearly. I owe her a lot. Thank you again Tammy.",0,5
Walmart,Yesterday i went to walmart 75 broadway…,Yesterday i went to walmart 75 broadway Chula Vista Ca purchased a whole cart of items but when i got home we looked at receipt a shredded beef packet was charged 4 times we only bought 1 and then we found 2 great value lasagnas we bought none of those then we found whiskas cat food and we bought none of that so now gotta check receipts everytime sad thong is it was a manager who rang us up and say goodbye to trust im disable and the store had 1 electric cart the door attendent said they were a not a super walmart thats why 1 electric cart i felt driscriminated against last goin to that store,0,1
Walmart,I paid 600 dollars for a phone fed ex…,I paid 600 dollars for a phone fed ex signed my name when they delivered it I called walmart to tell them i never received the package and they deactivated my account first time i ever called after ordering from walmart .com,0,1
Walmart,1st time using pick up,I tried the pick up thing 1st time.... I needed work shoes they gave me wrong size and i have to wait 24 hours before i can exchange or get refund. Very disappointed,0,1
Walmart,Never again,Screw u Walmart . Ur customer service sucks an so does ur in store customer service. Waiting for drive up for 40 min. This is ridiculous I’m happy I didn’t bring my young child cus I had to get out cus u guys are not organize. YOU ghetto asses. Target is sooo much better !!!!!!!!!,0,1
Walmart,Twice in one week I have gone in to my…,"Twice in one week I have gone in to my local Walmart in Moraine, Ohio, only to turn around and go back out empty handed due to backups at checkout lanes. They have ample lanes including self serv, but far too many of them are shut down. Absolutely the worst managed Walmart in the greater Dayton area, and I've been to them all.",0,1
Walmart,Had to bring my car in after finding…,Had to bring my car in after finding out that the oil Pan drain plug was rounded off. Walmart management Said they use a torque wrench to torque the oil plan drain plug back on after they do in oil change this is against the recommendation maintenance care by the auto manufacturer,0,1
Walmart,Worse service ever i bought a laptop…,Worse service ever i bought a laptop for work came in 5 day late and on top of that its broken i go return it in the store they said i cant get my money back because its from 3rd party but i paid to walmart not 3rd party so they want me to lose my job becouse they send me a broken laptop i dont have money laying around to keep on buying laptop i have a family funny part is when i called there customer service and ask the person what will he do if he was in my shoes he said i wont buy any thing from them again f*** walmart.com,0,1
Walmart,Bad and worst experience 0 star,"Only experience with walmart is totally worst and bad, they process the order by themselves with taking authorization and sending 0 mails of confirmation. I got the email that says we will let you know once the order generate and but after generate they straight way sent. I am receiving my products after 20 days whats the point of it.if i need the items today or tomorrow, and now they are not canceling my order some third party they are dealing with and want me to communicate with them RD trading. Walmart service sucks and they dont have the balls to hold on them.Waste of my money plus they are charging delivery charges doesn't matter if i pick up from the walmart as well",0,1
